"","module","lib95502","lib95503","lib95504","lib95505","lib95506","lib95507","lib95509","lib95510","lib95511","lib95512","lib95513","lib95514","lib95515","lib95516","lib95517","lib95518","lib95519","lib95520","lib95521","lib95522","lib95523","lib95524","lib95525","lib95526","lib95527","lib95528","lib95529","lib95530","lib95531"
"1","00",3.67792333785769,3.76694518975995,4.06853140520525,3.98702905239368,3.88339798093643,3.73965157802199,4.05541575172821,3.93746922589943,4.05504867322437,3.78873358907738,3.64151854957038,4.10999246959273,3.81617056870212,3.65629243023709,4.0045224224169,3.82586999563422,3.90308583727322,3.91530206461924,3.82887997359941,3.87110360506425,3.68107016891477,3.63365241809663,3.83773548994975,3.97834047109709,3.90304436219034,4.05181729122087,3.99543967119223,3.91885367680915,3.88326974627851
"2","01",4.78644307103793,4.56901257659868,4.90301813992455,6.2067033542395,5.43730460344588,4.71407829645255,4.48060905795718,5.87887627222476,5.18702630720921,4.84880003938275,4.42415203659924,5.31066832315554,5.92158703744028,5.20148219610605,5.15674856534114,6.38452516317305,5.63891315043382,4.80764901977217,6.19754258042529,5.50071056530172,4.35142923452195,6.26046631968632,5.39164665168301,5.38589924341241,6.33583434570987,5.54601715333772,5.37422797612468,6.36372005197572,5.42171756286998
"3","02",3.49747826352925,3.69372154980347,3.73758935667738,3.34093068700146,3.26397375891903,3.48222470207973,3.52896524504174,0.310813728528622,0.432621548404312,3.59749140694209,3.4512703647978,3.79462789861798,-0.110104955286884,2.83833887385276,3.76446867308037,3.58471066129444,3.57986208864018,3.83614717691077,3.57101935929025,3.50633051311678,3.32926704107824,3.5000273611733,3.52315971200633,3.68937808498956,3.54380865394741,3.61353342759903,3.75357194403715,3.57640695890777,3.48394314362531
"4","03",6.20289023798358,5.38110210328318,5.25832901931562,6.16317829715115,6.18348360999778,6.22967694588498,4.96903478115165,6.00152452332347,6.16513096593467,6.18336420653947,5.25122319973396,5.59189659372651,6.01306697175013,6.04571373575402,5.33119112599286,6.14476710819047,6.17883684961459,5.21662774854491,6.00936382253623,6.22310762764315,4.88098862394087,6.15419766947702,6.16444948498869,5.61332248967146,6.21600633174276,6.30433378822685,5.58030788180022,6.12143039803937,6.25894268391138
"5","04",3.65310301949961,5.53372642213738,5.13332382194409,3.75641499571497,3.48232619066104,3.55863593390115,5.42706752123544,3.55264547679979,3.61453960805273,3.81091340721298,5.02525334979635,4.83183039074546,3.41709025485952,3.24190217078817,5.21681629964134,3.77118523134213,3.53799302921821,5.45926439263671,3.72097181732005,3.32764111594695,5.38892651671066,3.58955497030587,3.32729673175123,4.83454846983306,3.7572071625009,3.46601165679032,4.9057790216094,3.80285252077182,3.25354047988413
"6","05",5.35330156493248,5.44755112928003,5.4376887696998,5.28877654519148,4.84306320794746,5.33348091483247,5.32917719294249,5.58124220714227,2.04410135949844,5.40095361591736,5.30109855639105,5.30728147539309,4.84315851279512,3.96616709989365,5.30050161592198,5.28363003229183,5.05142789814016,5.36098850353193,5.27121702788796,5.08934080250767,5.14231635513183,5.26491040142083,5.08663870477582,5.36582005920652,5.34897384743996,5.1613029334781,5.27111851923279,5.07180264772896,5.13998151107301
"7","06",5.39826143202918,5.39470020486073,5.38045257414832,5.33232850515951,5.40360653152231,5.39083971439338,5.38704812431856,1.39565155286284,5.54112542621472,5.4409569499332,5.37457671987395,5.42870570560512,4.54183796005714,5.4093350057527,5.39789461354902,5.4462858567817,5.44800217950455,5.41369365928152,5.55470643094978,5.52326239796781,5.35666561584742,5.4437241953111,5.42036796309523,5.3538300529513,5.40476515354595,5.44436465643773,5.41073933385187,5.41504135116221,5.47830813944346
"8","07",4.67956757775331,4.76857127530375,4.76116744605925,4.49107068683883,4.70449884281937,4.67924149479764,4.62317005216636,1.32180966184595,5.26184350964455,4.67197107231699,4.67591688280874,4.73840593370304,1.11524522870518,4.38118560603316,4.71915155120871,4.59625655873621,4.67840812106865,4.79458909873327,4.63950699824934,4.66248893646978,4.65864786960582,4.5883669179601,4.66000433007188,4.7207745580096,4.60485351364948,4.67903951686314,4.70653310805359,4.53151403602112,4.66582195917812
"9","08",-1.46711529244862,-1.44229986926713,-2.36837393742884,-0.374218389822425,-1.44613504877169,-1.68851566410993,-2.64853876431582,-0.899596967473804,-0.663983746293138,-0.807674189782619,-1.94700673275653,-0.635284135479558,-1.13589370192241,-2.68444066491597,-1.03900490514939,-1.51848709886364,-1.52663878946315,-1.03605733695785,-2.27239945376211,-2.35999735753139,-2.68773718859778,-2.71350773159842,-2.53274270395053,-1.4888000242824,-1.27096068701427,-1.55407045131877,-0.909597683503833,-1.03279275902404,-2.41100367795559
"10","09",5.67277913310521,5.60353023486755,5.52894975632086,5.41803898146048,5.84563160408438,5.72569938121724,5.822630432042,6.01904885339101,6.08943461324177,5.61205275962283,5.63903312262369,5.81004256644974,6.37869874924629,6.54146542775923,5.8517098151198,5.45872996868041,5.61740639957773,5.74704323568461,5.30877599482797,5.51476995563679,6.12305932210817,5.3865939409676,5.47452666398225,5.72512980887876,5.48629401963431,5.39640328492746,5.80898267038102,5.78636662820615,5.52469534089882
