"","model","gene","variable","df","statistic","contrast_ref","contrast_lvl","estimate","pval","FDR","std.error","contrasts"
"30","lm.contrast","12","Timepoint*Treatment",20,-2.66618409425996,"Baseline Alone","28 hrs Alone",1.03954692635834,0.0148341431317771,0.0333768220464985,0.389900655621037,"Baseline Alone+28 hrs Alone"
"31","lm.contrast","18","Timepoint*Treatment",20,-2.51939803151389,"Baseline Alone","28 hrs Alone",0.909297289753241,0.0203709244216531,0.0423088430295871,0.36091847273805,"Baseline Alone+28 hrs Alone"
"32","lm.contrast","06","Timepoint*Treatment",20,2.47825564026903,"Baseline Alone","28 hrs Alone",-1.4069793149542,0.0222411279149468,0.0428936038359687,0.56772969345546,"Baseline Alone+28 hrs Alone"
"33","lm.contrast","15","Timepoint*Treatment",20,2.06894806960941,"Baseline Alone","28 hrs Alone",-0.311975936334995,0.051723256857373,0.0931018623432713,0.150789640840958,"Baseline Alone+28 hrs Alone"
"34","lm.contrast","10","Timepoint*Treatment",20,1.98486175084012,"Baseline Alone","28 hrs Alone",-1.18612465526592,0.0610476753320635,0.103017952122857,0.597585526933488,"Baseline Alone+28 hrs Alone"
"35","lm.contrast","19","Timepoint*Treatment",20,1.91601870106819,"Baseline Alone","28 hrs Alone",-0.279612147689569,0.0697678482400649,0.110807758969515,0.145933934535025,"Baseline Alone+28 hrs Alone"
"36","lm.contrast","11","Timepoint*Treatment",20,1.78804760680847,"Baseline Alone","28 hrs Alone",-1.12944598362256,0.0889304400840973,0.133395660126146,0.631664380367669,"Baseline Alone+28 hrs Alone"
"37","lm.contrast","21","Timepoint*Treatment",20,1.58058790658675,"Baseline Alone","28 hrs Alone",-0.300746083177955,0.129658435390566,0.184251460818172,0.190274822377586,"Baseline Alone+28 hrs Alone"
"38","lm.contrast","17","Timepoint*Treatment",20,9.47165014223729,"Baseline Alone","52 hrs Alone",-1.59686108980382,7.81894783282948e-09,2.11111591486396e-07,0.168593757774359,"Baseline Alone+52 hrs Alone"
"39","lm.contrast","16","Timepoint*Treatment",20,5.39957207977073,"Baseline Alone","52 hrs Alone",-2.48213726335997,2.76260452435628e-05,0.000372951610788098,0.459691476785576,"Baseline Alone+52 hrs Alone"
"40","lm.contrast","01","Timepoint*Treatment",20,-4.62626059136371,"Baseline Alone","52 hrs Alone",0.611548688795537,0.000163080832797852,0.00146772749518066,0.132190713583488,"Baseline Alone+52 hrs Alone"
"41","lm.contrast","05","Timepoint*Treatment",20,4.41820514950589,"Baseline Alone","52 hrs Alone",-1.72763625544469,0.000264731348489215,0.0017869366023022,0.391026717181275,"Baseline Alone+52 hrs Alone"
"42","lm.contrast","12","Timepoint*Treatment",20,-3.61538766417687,"Baseline Alone","52 hrs Alone",1.31580564656374,0.00172553734506804,0.00931790166336743,0.36394593575716,"Baseline Alone+52 hrs Alone"
"43","lm.contrast","19","Timepoint*Treatment",20,3.33971869883581,"Baseline Alone","52 hrs Alone",-0.454934725680725,0.00326448813743798,0.0146901966184709,0.136219474364506,"Baseline Alone+52 hrs Alone"
"44","lm.contrast","22","Timepoint*Treatment",20,2.88883807867046,"Baseline Alone","52 hrs Alone",-0.840601211762037,0.00907728824400054,0.0350123975125735,0.29098246037691,"Baseline Alone+52 hrs Alone"
"45","lm.contrast","09","Timepoint*Treatment",20,-2.48526078160057,"Baseline Alone","52 hrs Alone",0.443589042551658,0.0219117419365747,0.0639488612006111,0.178487926030031,"Baseline Alone+52 hrs Alone"
"46","lm.contrast","11","Timepoint*Treatment",20,2.51673122683315,"Baseline Alone","52 hrs Alone",-1.48390512189291,0.0204875361504669,0.0639488612006111,0.589616048814291,"Baseline Alone+52 hrs Alone"
"47","lm.contrast","13","Timepoint*Treatment",20,2.32826810675075,"Baseline Alone","52 hrs Alone",-0.364625745575205,0.0305025587551435,0.0748699169444431,0.156608143416981,"Baseline Alone+52 hrs Alone"
"48","lm.contrast","18","Timepoint*Treatment",20,2.21384706975743,"Baseline Alone","52 hrs Alone",-0.745829636053534,0.0386219474326005,0.0868993817233512,0.336893024925725,"Baseline Alone+52 hrs Alone"
"49","lm.contrast","02","Timepoint*Treatment",20,1.9873495385762,"Baseline Alone","52 hrs Alone",-1.13888016082944,0.0607515609154633,0.126176318824424,0.573064847789868,"Baseline Alone+52 hrs Alone"
"50","lm.contrast","26","Timepoint*Treatment",20,-1.86096489780438,"Baseline Alone","52 hrs Alone",0.29426686018987,0.077515280975606,0.14949375616724,0.158125959569175,"Baseline Alone+52 hrs Alone"
"51","lm.contrast","03","Timepoint*Treatment",20,9.44642577930411,"Baseline Alone","8 hrs AECs",-0.853790121934964,8.17087093142578e-09,1.10306757574248e-07,0.0903823458609612,"Baseline Alone+8 hrs AECs"
"52","lm.contrast","04","Timepoint*Treatment",20,-9.76115626236516,"Baseline Alone","8 hrs AECs",1.48614076676837,4.74318909329135e-09,1.10306757574248e-07,0.152250484145848,"Baseline Alone+8 hrs AECs"
"53","lm.contrast","19","Timepoint*Treatment",20,7.69968142329175,"Baseline Alone","8 hrs AECs",-0.927660875205159,2.09441641874987e-07,1.88497477687489e-06,0.12048042304698,"Baseline Alone+8 hrs AECs"
"54","lm.contrast","24","Timepoint*Treatment",20,4.81555606941872,"Baseline Alone","8 hrs AECs",-0.646176951817643,0.000105154687948498,0.000709794143652363,0.134185324083589,"Baseline Alone+8 hrs AECs"
"55","lm.contrast","22","Timepoint*Treatment",20,-3.41816447931248,"Baseline Alone","8 hrs AECs",0.879704983366069,0.00272475327285065,0.0147136676733935,0.257361805931296,"Baseline Alone+8 hrs AECs"
"56","lm.contrast","23","Timepoint*Treatment",20,3.01196527988719,"Baseline Alone","8 hrs AECs",-0.445300655318004,0.00688777771461208,0.0265671426135037,0.147843887275713,"Baseline Alone+8 hrs AECs"
"57","lm.contrast","26","Timepoint*Treatment",20,2.65201663104575,"Baseline Alone","8 hrs AECs",-0.370899886926496,0.0152990552451429,0.0516343114523571,0.139855792224139,"Baseline Alone+8 hrs AECs"
"58","lm.contrast","01","Timepoint*Treatment",20,-2.3486158691757,"Baseline Alone","8 hrs AECs",0.274593480389922,0.0292352919103947,0.0836658025538431,0.116917152776583,"Baseline Alone+8 hrs AECs"
"59","lm.contrast","20","Timepoint*Treatment",20,-2.32069039780319,"Baseline Alone","8 hrs AECs",0.76191203145642,0.0309873342792011,0.0836658025538431,0.328312657378882,"Baseline Alone+8 hrs AECs"
"60","lm.contrast","01","Timepoint*Treatment",20,-13.7437651504117,"Baseline Alone","28 hrs AECs",1.62064521431548,1.1936744274166e-11,3.22292095402481e-10,0.117918575920001,"Baseline Alone+28 hrs AECs"
"61","lm.contrast","17","Timepoint*Treatment",20,6.78692176293603,"Baseline Alone","28 hrs AECs",-1.02069411846446,1.33920417798048e-06,1.80792564027365e-05,0.150391319381132,"Baseline Alone+28 hrs AECs"
"62","lm.contrast","13","Timepoint*Treatment",20,5.70773782563609,"Baseline Alone","28 hrs AECs",-0.797369530435981,1.38274176915715e-05,0.000124446759224144,0.139699747044201,"Baseline Alone+28 hrs AECs"
"63","lm.contrast","23","Timepoint*Treatment",20,4.62871360903754,"Baseline Alone","28 hrs AECs",-0.690188436218464,0.000162153950745375,0.00109453916753128,0.149110205235181,"Baseline Alone+28 hrs AECs"
"64","lm.contrast","21","Timepoint*Treatment",20,3.91829884929049,"Baseline Alone","28 hrs AECs",-0.620787650738163,0.000851570268067248,0.00459847944756314,0.158432951292261,"Baseline Alone+28 hrs AECs"
"65","lm.contrast","24","Timepoint*Treatment",20,3.37266922130398,"Baseline Alone","28 hrs AECs",-0.456439019456673,0.00302608397642699,0.0136173778939214,0.135334653209839,"Baseline Alone+28 hrs AECs"
"66","lm.contrast","26","Timepoint*Treatment",20,2.71518374442893,"Baseline Alone","28 hrs AECs",-0.382986686871844,0.013327345068327,0.0514054738349754,0.14105369025491,"Baseline Alone+28 hrs AECs"
"67","lm.contrast","18","Timepoint*Treatment",20,-2.35043773115084,"Baseline Alone","28 hrs AECs",0.706353413441842,0.0291242344156518,0.0873727032469555,0.300519943192024,"Baseline Alone+28 hrs AECs"
"68","lm.contrast","19","Timepoint*Treatment",20,2.39195182849005,"Baseline Alone","28 hrs AECs",-0.290651727103191,0.0266971194909982,0.0873727032469555,0.121512366445384,"Baseline Alone+28 hrs AECs"
"69","lm.contrast","25","Timepoint*Treatment",20,2.10896601910555,"Baseline Alone","28 hrs AECs",-0.344458147820291,0.0477527175023931,0.128932337256461,0.163330345154817,"Baseline Alone+28 hrs AECs"
"70","lm.contrast","17","Timepoint*Treatment",20,10.7196057941301,"Baseline Alone","52 hrs AECs",-1.62428522693656,9.71237445890354e-10,2.62234110390396e-08,0.151524716312422,"Baseline Alone+52 hrs AECs"
"71","lm.contrast","01","Timepoint*Treatment",20,-7.08377445070037,"Baseline Alone","52 hrs AECs",0.841603747256577,7.23512772766378e-07,9.76742243234611e-06,0.118807247903463,"Baseline Alone+52 hrs AECs"
"72","lm.contrast","13","Timepoint*Treatment",20,5.70364799204207,"Baseline Alone","52 hrs AECs",-0.802803106853635,1.39540645272831e-05,0.000125586580745548,0.140752568877626,"Baseline Alone+52 hrs AECs"
"73","lm.contrast","23","Timepoint*Treatment",20,3.1690747370801,"Baseline Alone","52 hrs AECs",-0.476102606982632,0.00482470826844557,0.0241446933660309,0.150233947281818,"Baseline Alone+52 hrs AECs"
"74","lm.contrast","25","Timepoint*Treatment",20,3.12236808341151,"Baseline Alone","52 hrs AECs",-0.513820809471459,0.00536548741467352,0.0241446933660309,0.164561254709617,"Baseline Alone+52 hrs AECs"
"75","lm.contrast","21","Timepoint*Treatment",20,2.54881232327126,"Baseline Alone","52 hrs AECs",-0.406859143723239,0.0191253833870399,0.0737693359214397,0.159626952525503,"Baseline Alone+52 hrs AECs"
"76","lm.contrast","24","Timepoint*Treatment",20,2.12303418470933,"Baseline Alone","52 hrs AECs",-0.289485430981928,0.0464237024154883,0.156679995652273,0.136354578304429,"Baseline Alone+52 hrs AECs"
"77","lm.contrast","04","Timepoint*Treatment",20,1.89903660826427,"Baseline Alone","52 hrs AECs",-0.293803337112825,0.0720814641940968,0.194619953324061,0.154711781665632,"Baseline Alone+52 hrs AECs"
"78","lm.contrast","19","Timepoint*Treatment",20,1.94829558674794,"Baseline Alone","52 hrs AECs",-0.238526170526857,0.0655507206627561,0.194619953324061,0.122428122380034,"Baseline Alone+52 hrs AECs"
"79","lm.contrast","08","Timepoint*Treatment",20,5.71177869860296,"28 hrs Alone","28 hrs AECs",-1.61952308371117,1.37034413202828e-05,0.000369992915647636,0.283540936925181,"28 hrs Alone+28 hrs AECs"
"80","lm.contrast","07","Timepoint*Treatment",20,-4.73283683031611,"28 hrs Alone","28 hrs AECs",1.9722118818674,0.000127347378125408,0.00171918960469301,0.416708192692051,"28 hrs Alone+28 hrs AECs"
"81","lm.contrast","02","Timepoint*Treatment",20,-3.76942079982548,"28 hrs Alone","28 hrs AECs",2.00512136689208,0.00120552084110689,0.010849687569962,0.531944156244088,"28 hrs Alone+28 hrs AECs"
"82","lm.contrast","25","Timepoint*Treatment",20,3.47970355770608,"28 hrs Alone","28 hrs AECs",-0.591411984933434,0.0023635820061241,0.0159541785413376,0.169960450689458,"28 hrs Alone+28 hrs AECs"
"83","lm.contrast","24","Timepoint*Treatment",20,3.31062801527501,"28 hrs Alone","28 hrs AECs",-0.466230192487182,0.00349017942488032,0.0188469688943538,0.140828323307852,"28 hrs Alone+28 hrs AECs"
"84","lm.contrast","06","Timepoint*Treatment",20,-3.10304104933137,"28 hrs Alone","28 hrs AECs",1.5264209268763,0.00560607999001192,0.0252273599550536,0.491911290443678,"28 hrs Alone+28 hrs AECs"
"85","lm.contrast","12","Timepoint*Treatment",20,3.00180614294246,"28 hrs Alone","28 hrs AECs",-1.01410234931945,0.0070471876849812,0.0271820096420703,0.33783072624583,"28 hrs Alone+28 hrs AECs"
"86","lm.contrast","26","Timepoint*Treatment",20,2.93783577712651,"28 hrs Alone","28 hrs AECs",-0.431214109086825,0.00813579763773234,0.0274583170273467,0.146779514513434,"28 hrs Alone+28 hrs AECs"
"87","lm.contrast","10","Timepoint*Treatment",20,-2.5197047095275,"28 hrs Alone","28 hrs AECs",1.304652646922,0.0203575542560292,0.0458044970760657,0.517779977149248,"28 hrs Alone+28 hrs AECs"
"88","lm.contrast","14","Timepoint*Treatment",20,2.61092430294419,"28 hrs Alone","28 hrs AECs",-0.43273166648115,0.0167267422327632,0.0458044970760657,0.165738878753851,"28 hrs Alone+28 hrs AECs"
"89","lm.contrast","20","Timepoint*Treatment",20,-2.52209489464931,"28 hrs Alone","28 hrs AECs",0.869028538186001,0.0202536316823371,0.0458044970760657,0.344566154124363,"28 hrs Alone+28 hrs AECs"
"90","lm.contrast","16","Timepoint*Treatment",20,-2.44503489595105,"28 hrs Alone","28 hrs AECs",1.04331099976991,0.0238671616341656,0.0495702587786517,0.42670597523889,"28 hrs Alone+28 hrs AECs"
"91","lm.contrast","09","Timepoint*Treatment",20,2.25353725024818,"28 hrs Alone","28 hrs AECs",-0.373366937322177,0.0356043240682047,0.0600822968650954,0.165680393027032,"28 hrs Alone+28 hrs AECs"
"92","lm.contrast","11","Timepoint*Treatment",20,-2.28704126470602,"28 hrs Alone","28 hrs AECs",1.25171532551939,0.0332270698305023,0.0600822968650954,0.547307713610621,"28 hrs Alone+28 hrs AECs"
"93","lm.contrast","17","Timepoint*Treatment",20,2.28462258838228,"28 hrs Alone","28 hrs AECs",-0.357534726385115,0.033393669582239,0.0600822968650954,0.15649618812457,"28 hrs Alone+28 hrs AECs"
"94","lm.contrast","15","Timepoint*Treatment",20,-2.16919523513248,"28 hrs Alone","28 hrs AECs",0.283410104315293,0.0422949595219872,0.0671743474760974,0.130652188297834,"28 hrs Alone+28 hrs AECs"
"95","lm.contrast","21","Timepoint*Treatment",20,1.94124290909036,"28 hrs Alone","28 hrs AECs",-0.320041567560208,0.0664524005212105,0.0996786007818157,0.164864255813393,"28 hrs Alone+28 hrs AECs"
"96","lm.contrast","12","Timepoint*Treatment",20,5.18711788499296,"52 hrs Alone","52 hrs AECs",-1.66619915851999,4.47710100860581e-05,0.00120881727232357,0.321218679710468,"52 hrs Alone+52 hrs AECs"
"97","lm.contrast","16","Timepoint*Treatment",20,-4.56312341884378,"52 hrs Alone","52 hrs AECs",1.8513672868569,0.000188869623271876,0.00254973991417032,0.40572369338325,"52 hrs Alone+52 hrs AECs"
"98","lm.contrast","05","Timepoint*Treatment",20,-4.3137308253891,"52 hrs Alone","52 hrs AECs",1.48875554667072,0.000337851815036447,0.00261202015018377,0.345120177158117,"52 hrs Alone+52 hrs AECs"
"99","lm.contrast","09","Timepoint*Treatment",20,4.16019432827408,"52 hrs Alone","52 hrs AECs",-0.655369731714879,0.000483707435219216,0.00261202015018377,0.157533441950239,"52 hrs Alone+52 hrs AECs"
"100","lm.contrast","21","Timepoint*Treatment",20,4.16420700220014,"52 hrs Alone","52 hrs AECs",-0.652770414308512,0.000479189930558352,0.00261202015018377,0.156757436401126,"52 hrs Alone+52 hrs AECs"
"101","lm.contrast","18","Timepoint*Treatment",20,-3.59577156333803,"52 hrs Alone","52 hrs AECs",1.06917312016435,0.00180599222385167,0.00812696500733251,0.297341780847674,"52 hrs Alone+52 hrs AECs"
"102","lm.contrast","13","Timepoint*Treatment",20,3.17009061077668,"52 hrs Alone","52 hrs AECs",-0.43817736127843,0.00481355583003965,0.014440667490119,0.138222346007667,"52 hrs Alone+52 hrs AECs"
"103","lm.contrast","24","Timepoint*Treatment",20,3.21441123090627,"52 hrs Alone","52 hrs AECs",-0.430420642388954,0.00435067567779893,0.014440667490119,0.133903415421928,"52 hrs Alone+52 hrs AECs"
"104","lm.contrast","26","Timepoint*Treatment",20,3.22030360410931,"52 hrs Alone","52 hrs AECs",-0.449431916695304,0.0042924992763761,0.014440667490119,0.139561970530295,"52 hrs Alone+52 hrs AECs"
"105","lm.contrast","11","Timepoint*Treatment",20,-3.01121701133265,"52 hrs Alone","52 hrs AECs",1.56702263650537,0.00689939924443789,0.0174916960980143,0.520395119517428,"52 hrs Alone+52 hrs AECs"
"106","lm.contrast","22","Timepoint*Treatment",20,-2.99684975827988,"52 hrs Alone","52 hrs AECs",0.769654302340125,0.00712624655845029,0.0174916960980143,0.256821116979147,"52 hrs Alone+52 hrs AECs"
"107","lm.contrast","02","Timepoint*Treatment",20,-2.7139990568623,"52 hrs Alone","52 hrs AECs",1.3727055214115,0.0133619958218114,0.0300644905990757,0.50578702963829,"52 hrs Alone+52 hrs AECs"
"108","lm.contrast","01","Timepoint*Treatment",20,-1.97181842865,"52 hrs Alone","52 hrs AECs",0.23005505846104,0.0626213263753026,0.123653385863497,0.116671522650565,"52 hrs Alone+52 hrs AECs"
"109","lm.contrast","23","Timepoint*Treatment",20,1.9596924085184,"52 hrs Alone","52 hrs AECs",-0.289119855618998,0.0641165704477391,0.123653385863497,0.147533283469513,"52 hrs Alone+52 hrs AECs"
"110","lm.contrast","25","Timepoint*Treatment",20,1.88975402709293,"52 hrs Alone","52 hrs AECs",-0.305389991193072,0.0733744752586237,0.132074055465523,0.16160303765187,"52 hrs Alone+52 hrs AECs"
"111","lm.contrast","19","Timepoint*Treatment",20,-1.79999503248293,"52 hrs Alone","52 hrs AECs",0.216408555153868,0.0869655108553398,0.146754299568386,0.120227306880593,"52 hrs Alone+52 hrs AECs"
"112","lm.contrast","08","Timepoint*Treatment",20,1.71157134278754,"52 hrs Alone","52 hrs AECs",-0.461437007651594,0.102440830718066,0.162700142905163,0.269598465524714,"52 hrs Alone+52 hrs AECs"
"113","lm.contrast","14","Timepoint*Treatment",20,1.55383456989005,"52 hrs Alone","52 hrs AECs",-0.244867316486328,0.135905903230905,0.203858854846358,0.157589051776377,"52 hrs Alone+52 hrs AECs"
