"ensembl_gene_id","gene_symbol","lib95467","lib95468","lib95469","lib95470","lib95471","lib95472","lib95473","lib95474","lib95475","lib95476","lib95477","lib95478","lib95479","lib95480","lib95481","lib95482","lib95483","lib95484","lib95485","lib95486","lib95487","lib95488","lib95489","lib95490","lib95491","lib95492","lib95493","lib95494","lib95495","lib95496","lib95497","lib95498","lib95499","lib95500","lib95501","lib95502","lib95503","lib95504","lib95505","lib95506","lib95507","lib95509","lib95510","lib95511","lib95512","lib95513","lib95514","lib95515","lib95516","lib95517","lib95518","lib95519","lib95520","lib95521","lib95522","lib95523","lib95524","lib95525","lib95526","lib95527","lib95528","lib95529","lib95530","lib95531"
"ENSG00000000003","TSPAN6",510.998090779595,473.474296339372,603.74057903305,582.197861612657,472.691834778018,733.702485828621,515.181470851827,611.995192955448,569.063715314152,545.550470509545,475.614930510365,557.078920301049,582.15590614904,542.655778549551,413.275467012815,701.284901450237,628.329136618381,509.430796987248,607.978335652952,653.655056001451,618.794731595541,684.22666583715,592.597407778209,553.555523867224,593.506521138753,512.335282299554,698.085004200136,719.212790704334,486.93997350361,437.134607640142,540.804276760272,473.226187856171,407.776357198862,537.48113701625,493.031033232422,1.08322464666287,0,0,0,3.26075160714969,0.875927107475499,0,0,0,7.73439379149697,1.94983976375368,0,1.89965886220936,0,0.43459116594307,0,0.758148411003852,1.35610865571904,0.807919533861069,0,9.17182603734704,0,0,1.47209566386087,1.36246304641913,0,1.5669118510407,1.19966139133296,0
"ENSG00000000419","DPM1",82.7207385831279,78.0603387237253,180.171401144509,77.8371080676576,94.0357261033806,190.569152252941,82.6390878673263,75.3866805867848,84.128851392473,78.459543473819,80.4041868668793,102.723772537782,109.046051796004,54.6583323388269,63.4182302321455,137.607845300309,84.0606913643539,115.331185274353,107.521689842291,84.5393872428544,99.3263219679815,118.290033754897,116.617214929138,112.79268654225,75.8868852319011,93.9490126466174,106.388737592088,138.566112683618,118.69523729874,124.840216106542,106.841820530688,80.3951092090597,109.314907769662,81.0834235607171,79.2306992776719,40.4403868087473,37.4163571758251,39.2563179500438,32.067709409486,49.8894995893902,36.2049871089873,35.1359196981943,45.7868411934749,25.8873434022751,45.8539060495892,41.9215549207041,45.4509679552439,70.2873779017463,69.2875398239354,46.0666635899654,26.9522115517035,42.8353852217177,42.9434407644364,26.9306511287023,44.1579432624016,36.1018684448766,34.2221648086763,43.8828875032138,37.391229862066,41.3280457413801,37.8062114883362,35.5166686235892,52.1852705229838,40.6168848074133
"ENSG00000000457","SCYL3",31.6048046048598,15.9266686061001,36.6047437681455,55.1181552052702,33.2999564597718,31.0490472383777,30.6787249273352,26.4270651503489,19.1034946393389,28.2307703153461,17.7943692246372,25.6809431344455,43.8492060132081,25.8563368548942,38.0509381392873,41.2087665070444,38.5959594591197,12.9516304318792,26.2248024005587,50.9850943681132,37.9696189240483,43.737491472399,42.5942309847561,35.822569974792,40.1385178086088,33.1953178018048,34.6856432149546,42.7819901939128,26.0550520899672,36.05633570779,25.0616616059638,31.6246164187296,44.905294063056,40.2989470391588,22.3286516146166,15.8872948177221,16.1897699318474,12.3122088116046,10.5365330916883,20.2166599643281,15.1827365295753,17.8591415040546,0,0,7.73439379149697,25.6728902227568,15.3470800887837,26.595224070931,14.3353530670211,20.4257847993243,22.9458017264503,21.9863039191117,24.4099558029428,42.5504287833497,26.9970364021318,15.8067640218109,39.1380558861657,17.420844787708,15.309794904153,19.5286369986741,23.4912382063448,21.4144619642229,22.1937357396598,21.3138108395337
"ENSG00000000460","C1orf112",8.70744616664504,2.35950646016298,0,5.72912724355855,2.72263794954109,10.1246893168623,7.73877745914761,8.34538899484702,4.04112386601399,2.93306704575024,11.2038621044012,11.1942572637327,6.92355884419076,3.9275448387181,4.22788201547637,11.773933287727,13.737544892229,20.0441899540988,12.2382411202607,3.48616029867441,9.35483364795394,18.5552994125329,17.7820575955778,6.53519857648232,15.2609989584815,10.0212280156392,1.16590397361192,8.55639803878256,24.3180486173028,11.631076034771,13.1903482136652,10.6685452978847,11.3397207229939,14.5658844719851,19.807674819418,22.7477175799203,13.3115886106301,27.6578603738945,21.0730661833765,8.15187901787422,19.8543477694446,24.4592590164226,0,0,33.6998586629511,45.1712878602936,41.3190617774945,3.32440300886638,6.57037015571801,26.9446522884703,16.7540774510589,7.2024099045366,10.3968330271793,29.6237162415725,17.7887449161333,33.3698351571562,4.91589107748941,12.1284362446068,17.9595670991026,22.7077174403188,6.97396134250862,27.1598054180388,14.3959366959955,9.24938960960897
"ENSG00000000938","FGR",0,0,0,0,1.6754695074099,0,1.9346943647869,0,0.734749793820725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71771214329122,1.87898025293235,0,0,0,0,0,0,0.907177657839516,0,0,68.6042276219819,61.8808984061724,94.0367252712412,53.5988857272837,69.1279340715733,80.2933181852541,55.7127566485181,68.9775789408194,25.8873434022751,56.3505833380493,55.8954065609388,80.8673066216678,66.4880601773275,49.7755314827122,77.7918187038095,42.9778508527164,58.7565018527986,87.6950264031648,40.9345897156275,84.5488581896219,88.0105009115641,29.1172009974373,41.4572002542924,96.5694755492728,44.5071261830248,64.2338544704741,91.4031913107075,40.7884873053207,66.7564641389169
"ENSG00000000971","CFH",130.45044349659,96.1498882516415,228.185415697531,132.955263272928,130.477187889546,278.541452761678,257.867120335169,543.563003197703,442.686750776987,527.952068235043,414.76258143352,417.479947365089,727.550641877046,653.608920243338,233.061996103135,443.975401058038,331.009415022281,248.547955430825,396.868676328455,512.029793867804,439.126897121603,338.634214278725,253.911241015925,215.419508632195,183.341042282031,167.229242510979,433.133326196828,466.799048560249,554.10410777997,459.233652106207,601.479878543132,365.397676452551,416.394544948338,599.628910763387,539.849173714683,50.1894086287131,55.7647630985856,41.7544472741375,77.4206127171876,33.9118167143567,52.5556264485299,50.8597290658945,113.575151531866,6.04038012719752,61.8751503319757,46.7961543300883,45.4509679552439,25.170479924274,14.1362509410903,45.1974812580793,104.89509360663,52.3122403592658,61.47692572593,91.0256008150138,70.1085829047608,59.1290061556628,81.1122027785753,49.8368471142026,34.4470385343443,74.4813132042455,31.93340193675,43.8735318291396,65.9813765233129,29.1556846389848
"ENSG00000001036","FUCA2",52.7284240091283,48.1732568949942,35.6539712027392,55.5132674289639,46.9131462074772,30.5990610465172,47.2618194826515,70.6576268230381,73.8423542789829,56.8281740114109,80.8435540082284,64.5316006968118,65.1968457827963,62.1861266130366,38.0509381392873,53.9638609020819,46.7730695140179,61.3660584748562,31.4697628806704,38.7835333227528,43.1973200802579,46.0569038989656,42.5942309847561,53.4918105704664,48.918818579242,46.3481795723313,46.0532069576708,48.4862555531012,37.6350752410638,50.2074782167613,34.2949053555295,45.7223369909344,40.3694057738584,23.3054151551762,43.9370241448908,0.361074882220958,1.43909066060866,1.60594027977452,0,0.326075160714969,1.751854214951,3.68830096279388,0,0,0.55245669939264,1.29989317583579,0,12.3477826043608,0,0.86918233188614,0,0.379074205501926,1.80814487429206,7.54058231603665,0.627838055863529,0,0,0.88206809051686,0.294419132772173,0.454154348806375,1.10115179092241,3.6561276524283,1.79949208699944,0.402147374330825
"ENSG00000001084","GCLC",116.421780228106,148.059030375227,207.26841925859,139.07950274018,99.4810020024628,111.146589389555,121.885744981575,115.44454776205,132.622337784641,111.456547738509,111.159886761314,98.7728582094058,106.738198847941,108.662073871201,103.583109379171,182.25067568294,191.344375284619,141.234446138111,149.918453723194,159.05606362702,155.730466021821,169.648451771729,137.70756230994,160.717476103121,171.4249198076,104.283404037745,167.015744219907,185.863979620221,151.698303279365,108.556709657862,117.39409910162,140.596186247123,99.7895423623467,77.1991877015211,133.611770145529,25.275241755467,19.4277239182169,12.6690844293323,20.6149560489553,52.172025714395,28.3216431417078,18.2473837106645,0,38.8310151034126,40.3293390556628,25.6728902227568,30.6941601775673,17.5718444754366,50.7710421123665,23.0333317949827,21.4889254263582,39.8027915777023,37.5190061415602,42.8197352946367,50.2270444690823,10.5378426812072,30.8188556011836,35.7237576659328,33.2693620032556,34.5157305092845,44.4131222338707,37.6058844249768,14.995767391662,58.512442965135
"ENSG00000001167","NFYA",40.9572467838489,15.1401664527125,64.6525344476337,33.3869829021171,43.5622071926574,5.39983430232656,30.6787249273352,37.8324301099732,44.0849876292435,31.8971041225339,37.7855741560198,65.8485721396039,34.6177942209538,39.275448387181,11.0981902906255,29.9254137729727,31.0730182086133,49.6479166555369,42.3967638809032,32.2469827627383,29.165069608327,26.5075705893327,28.9475356207081,16.9431074205097,18.6058754425322,44.7823626948876,19.8203675514026,22.579383713454,24.8970497748576,58.7369339755934,36.9329749982625,40.7690838169165,49.4411823522536,42.7265944511563,24.1293493254728,40.8014616909682,53.2463544425204,46.0369546868695,36.1907006192771,15.3255325536035,47.0080881011851,18.4415048139694,0,10.35493736091,21.545811276313,40.6216617448683,28.9233432442461,38.4680919597395,21.5030296005317,26.9446522884703,44.0705080777855,39.0446431666984,40.6832596715713,40.1266701817664,47.2971335417192,13.660166438602,54.8310927873819,46.9701258200228,29.4419132772173,45.8695892294439,34.1357055185948,46.4850515808741,43.1878100879866,40.2147374330825
"ENSG00000001460","STPG1",87.7194576787945,59.7741636574622,51.3417185319444,85.9369086533783,60.7357696436089,50.6234465843115,75.4530802266892,15.0217001907246,22.4098687115321,32.6303708839714,51.4059555378409,23.0470002488614,25.3863824286994,22.5833828226291,34.88002662768,56.662053947186,65.08979603699,51.4981495743768,30.1585227606425,56.6501048534591,61.9069873761658,54.340519708132,92.6321139862658,60.995186713835,84.4581312222811,60.4405314693239,95.0211738493713,58.7063976549804,18.5280370417545,22.292895733311,40.890079462362,26.6713632447117,21.7722637881484,25.7330625671737,22.3286516146166,14.4429952888383,16.5495425969996,19.4497211661581,13.2851938982156,16.9559083571784,10.511125289706,39.9889472808179,0,0,6.07702369331904,5.84951929126104,21.8400755109614,9.02337959549445,8.9595956668882,16.0798731398936,18.210953751151,14.0257456035713,33.9027163929761,6.46335627088855,20.3000971395874,27.5154781120411,17.7728369724617,23.8158384439552,19.1372436301913,16.3495565570295,16.5172768638362,13.5799027090194,14.995767391662,20.1073687165412
