Viral_genome,lib97312,lib97313,lib97314,lib97315,lib97316,lib97317,lib97318,lib97319,lib97320,lib97321,lib97322,lib97323,lib97324,lib97325,lib97326,lib97327,lib97328,lib97329,lib97330,lib97331,lib97332,lib97333,lib97334,lib97335,lib97336,lib97337,lib97338,lib97339,lib97340,lib97341,lib97342,lib97343,lib97344,lib97345,lib97346,lib97347,lib97348,lib97349,lib97350,lib97351,lib97352,lib97353,lib97354,lib97355,lib97356,lib97357,lib97358,lib97359,lib97360,lib97361,lib97362,lib97363,lib95467,lib95468,lib95469,lib95470,lib95471,lib95472,lib95473,lib95474,lib95475,lib95476,lib95477,lib95478,lib95479,lib95480,lib95481,lib95482,lib95483,lib95484,lib95485,lib95486,lib95487,lib95488,lib95489,lib95490,lib95491,lib95492,lib95493,lib95494,lib95495,lib95496,lib95497,lib95498,lib95499,lib95500,lib95501,lib95502,lib95503,lib95504,lib95505,lib95506,lib95507,lib95508,lib95509,lib95510,lib95511,lib95512,lib95513,lib95514,lib95515,lib95516,lib95517,lib95518,lib95519,lib95520,lib95521,lib95522,lib95523,lib95524,lib95525,lib95526,lib95527,lib95528,lib95529,lib95530,lib95531
MF374982.1,0,0,0,0,1,1,0,0,0,2,0,2,1,1,0,1,2,1,0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
MT797634.1,1,3,4,2,2,3,0,1,3,2,1,2,3,2,3,2,3,3,2,1,3,4,2,2,2,4,0,4,7,1,5,4,1,1,3,2,1,1,4,2,0,3,1,3,2,3,7,0,2,1,1,0,0,4,1,5,2,3,2,3,2,3,1,0,2,1,3,3,1,3,1,2,0,2,1,0,2,2,0,0,3,0,0,1,2,1,2,0,2,3,1,5,0,1,3,2,0,2,4,2,2,6,2,1,2,3,0,2,3,4,1,2,0,1,0,2,7
NC_006577.2,2,1,2,1,7,2,2,6,2,2,4,4,5,4,5,8,2,0,0,1,2,4,2,4,1,2,0,3,3,3,2,4,0,5,1,2,4,0,1,1,3,3,3,0,0,3,5,0,3,1,3,0,3,2,4,3,2,6,5,4,2,2,1,2,2,0,3,2,2,0,3,3,2,0,2,2,3,2,2,6,2,0,0,1,0,1,5,1,1,5,3,2,0,0,5,3,0,3,3,0,2,1,1,0,4,1,3,4,3,0,6,2,2,2,0,0,6
NC_005831.2,2,2,3,1,1,1,4,4,1,1,0,3,4,0,1,2,3,3,4,4,6,4,2,3,2,0,1,1,2,3,1,0,2,0,2,2,2,1,3,2,2,1,3,0,3,1,2,2,3,1,1,0,1,3,0,2,2,1,0,2,2,1,2,2,1,3,0,0,2,1,2,1,1,1,1,3,2,2,2,1,0,2,1,2,2,1,2,1,0,2,1,3,2,0,3,1,1,1,1,0,3,4,4,1,0,2,0,4,3,2,4,2,1,1,1,3,6
AY391777.1,2,3,2,2,1,2,2,3,1,3,2,0,4,4,1,1,4,3,1,0,1,1,2,3,3,2,2,5,2,6,3,3,2,1,2,6,4,5,5,1,1,4,1,2,1,2,3,4,2,0,1,2,3,3,2,0,3,2,1,4,4,1,1,1,0,2,3,1,4,3,0,2,1,1,2,3,1,3,3,2,2,3,0,2,1,2,6,1,2,1,2,2,0,0,5,0,1,1,1,2,3,5,1,1,1,1,2,4,3,4,0,1,2,3,2,0,3
NC_045512.2,219,351,530,206,439,357,389,312,377,357,353,371,541,491,486,882,239,276,244,236,328,316,315,369,239,274,250,337,357,556,363,407,277,368,352,409,560,677,311,407,287,731,497,360,571,655,442,534,205,1042,678,395,348,1166,3041,642,512,1858,363,267,178,150,510,139,147,285,1298,374,151,1421,199,218,377,264,234,554,255,292,345,528,137,494,68,176,150,194,165,123,148,512,125,359,177,325,1005,906,431,130,313,150,1345,690,174,136,203,140,435,323,1001,240,356,242,120,108,118,196,315
NC_038306.1,0,1,1,1,0,0,0,1,1,0,2,0,2,2,0,0,1,1,2,0,0,0,2,2,0,0,0,1,2,1,1,1,0,0,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,2,0,0,0,2,2,0,0,2,0,1,0,1,2,2,1,1,2,2,1,1,1,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
NC_038308.1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,2,1,0,1,0,0,3,2,0,2,1,3,1,2,1,0,1,0,0,0
NC_002204.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NC_026438.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
