Viral_genome,libid,salmonCounts
NC_038312.1,lib95510,0
NC_038312.1,lib95511,0
NC_038312.1,lib95512,0
NC_038312.1,lib95513,0
NC_038312.1,lib95514,0
NC_038312.1,lib95515,0
NC_038312.1,lib95516,1
NC_038312.1,lib95517,0
NC_038312.1,lib95518,0
NC_038312.1,lib95519,0
NC_038312.1,lib95520,0
NC_038312.1,lib95521,1
NC_038312.1,lib95522,0
NC_038312.1,lib95523,1
NC_038312.1,lib95524,1
NC_038312.1,lib95525,0
NC_038312.1,lib95526,1
NC_038312.1,lib95527,0
NC_038312.1,lib95528,1
NC_038312.1,lib95529,1
NC_038312.1,lib95530,0
NC_038312.1,lib95531,0
NC_038878.1,lib97312,1
NC_038878.1,lib97313,0
NC_038878.1,lib97314,0
NC_038878.1,lib97315,1
NC_038878.1,lib97316,0
NC_038878.1,lib97317,0
NC_038878.1,lib97318,0
NC_038878.1,lib97319,1
NC_038878.1,lib97320,1
NC_038878.1,lib97321,0
NC_038878.1,lib97322,0
NC_038878.1,lib97323,0
NC_038878.1,lib97324,0
NC_038878.1,lib97325,2
NC_038878.1,lib97326,1
NC_038878.1,lib97327,1
NC_038878.1,lib97328,0
NC_038878.1,lib97329,0
NC_038878.1,lib97330,0
NC_038878.1,lib97331,0
NC_038878.1,lib97332,1
NC_038878.1,lib97333,1
NC_038878.1,lib97334,1
NC_038878.1,lib97335,2
NC_038878.1,lib97336,0
NC_038878.1,lib97337,0
NC_038878.1,lib97338,1
NC_038878.1,lib97339,1
NC_038878.1,lib97340,0
NC_038878.1,lib97341,0
NC_038878.1,lib97342,2
NC_038878.1,lib97343,1
NC_038878.1,lib97344,1
NC_038878.1,lib97345,0
NC_038878.1,lib97346,1
NC_038878.1,lib97347,0
NC_038878.1,lib97348,1
NC_038878.1,lib97349,1
NC_038878.1,lib97350,1
NC_038878.1,lib97351,1
NC_038878.1,lib97352,1
NC_038878.1,lib97353,1
NC_038878.1,lib97354,0
NC_038878.1,lib97355,0
NC_038878.1,lib97356,1
NC_038878.1,lib97357,1
NC_038878.1,lib97358,1
NC_038878.1,lib97359,1
NC_038878.1,lib97360,0
NC_038878.1,lib97361,0
NC_038878.1,lib97362,1
NC_038878.1,lib97363,0
NC_038878.1,lib95467,2
NC_038878.1,lib95468,2
NC_038878.1,lib95469,0
NC_038878.1,lib95470,0
NC_038878.1,lib95471,0
NC_038878.1,lib95472,1
NC_038878.1,lib95473,1
NC_038878.1,lib95474,1
NC_038878.1,lib95475,2
NC_038878.1,lib95476,0
NC_038878.1,lib95477,0
NC_038878.1,lib95478,0
NC_038878.1,lib95479,2
NC_038878.1,lib95480,0
NC_038878.1,lib95481,1
NC_038878.1,lib95482,2
NC_038878.1,lib95483,0
NC_038878.1,lib95484,0
NC_038878.1,lib95485,0
NC_038878.1,lib95486,1
NC_038878.1,lib95487,2
NC_038878.1,lib95488,2
NC_038878.1,lib95489,1
NC_038878.1,lib95490,0
NC_038878.1,lib95491,0
NC_038878.1,lib95492,0
NC_038878.1,lib95493,0
NC_038878.1,lib95494,0
NC_038878.1,lib95495,2
NC_038878.1,lib95496,0
NC_038878.1,lib95497,0
NC_038878.1,lib95498,0
NC_038878.1,lib95499,0
NC_038878.1,lib95500,0
NC_038878.1,lib95501,0
NC_038878.1,lib95502,1
NC_038878.1,lib95503,1
NC_038878.1,lib95504,2
NC_038878.1,lib95505,1
NC_038878.1,lib95506,1
NC_038878.1,lib95507,1
NC_038878.1,lib95508,0
NC_038878.1,lib95509,1
NC_038878.1,lib95510,2
NC_038878.1,lib95511,0
NC_038878.1,lib95512,1
NC_038878.1,lib95513,1
NC_038878.1,lib95514,1
NC_038878.1,lib95515,1
NC_038878.1,lib95516,1
NC_038878.1,lib95517,0
NC_038878.1,lib95518,1
NC_038878.1,lib95519,1
NC_038878.1,lib95520,0
NC_038878.1,lib95521,1
NC_038878.1,lib95522,1
NC_038878.1,lib95523,2
NC_038878.1,lib95524,2
NC_038878.1,lib95525,1
NC_038878.1,lib95526,0
NC_038878.1,lib95527,2
NC_038878.1,lib95528,1
NC_038878.1,lib95529,0
NC_038878.1,lib95530,1
NC_038878.1,lib95531,2
NC_001803.1,lib97312,0
NC_001803.1,lib97313,3
NC_001803.1,lib97314,0
NC_001803.1,lib97315,0
NC_001803.1,lib97316,0
NC_001803.1,lib97317,2
NC_001803.1,lib97318,1
NC_001803.1,lib97319,1
NC_001803.1,lib97320,0
NC_001803.1,lib97321,1
NC_001803.1,lib97322,3
NC_001803.1,lib97323,0
NC_001803.1,lib97324,3
NC_001803.1,lib97325,2
NC_001803.1,lib97326,1
NC_001803.1,lib97327,2
NC_001803.1,lib97328,0
NC_001803.1,lib97329,1
NC_001803.1,lib97330,2
NC_001803.1,lib97331,1
NC_001803.1,lib97332,1
NC_001803.1,lib97333,1
NC_001803.1,lib97334,0
NC_001803.1,lib97335,1
NC_001803.1,lib97336,1
NC_001803.1,lib97337,1
NC_001803.1,lib97338,3
NC_001803.1,lib97339,1
NC_001803.1,lib97340,0
NC_001803.1,lib97341,1
NC_001803.1,lib97342,0
NC_001803.1,lib97343,1
NC_001803.1,lib97344,3
NC_001803.1,lib97345,1
NC_001803.1,lib97346,1
NC_001803.1,lib97347,1
NC_001803.1,lib97348,1
NC_001803.1,lib97349,2
NC_001803.1,lib97350,0
NC_001803.1,lib97351,0
NC_001803.1,lib97352,1
NC_001803.1,lib97353,1
NC_001803.1,lib97354,0
NC_001803.1,lib97355,2
NC_001803.1,lib97356,0
NC_001803.1,lib97357,1
NC_001803.1,lib97358,1
NC_001803.1,lib97359,1
NC_001803.1,lib97360,1
NC_001803.1,lib97361,1
NC_001803.1,lib97362,1
NC_001803.1,lib97363,0
NC_001803.1,lib95467,2
NC_001803.1,lib95468,0
NC_001803.1,lib95469,0
NC_001803.1,lib95470,3
NC_001803.1,lib95471,0
NC_001803.1,lib95472,2
NC_001803.1,lib95473,1
NC_001803.1,lib95474,2
NC_001803.1,lib95475,0
NC_001803.1,lib95476,0
NC_001803.1,lib95477,2
NC_001803.1,lib95478,0
NC_001803.1,lib95479,1
NC_001803.1,lib95480,1
NC_001803.1,lib95481,0
NC_001803.1,lib95482,1
NC_001803.1,lib95483,0
NC_001803.1,lib95484,1
NC_001803.1,lib95485,0
NC_001803.1,lib95486,0
NC_001803.1,lib95487,0
NC_001803.1,lib95488,1
NC_001803.1,lib95489,0
NC_001803.1,lib95490,2
NC_001803.1,lib95491,1
NC_001803.1,lib95492,1
NC_001803.1,lib95493,1
NC_001803.1,lib95494,1
NC_001803.1,lib95495,0
NC_001803.1,lib95496,1
NC_001803.1,lib95497,1
NC_001803.1,lib95498,0
NC_001803.1,lib95499,0
NC_001803.1,lib95500,1
NC_001803.1,lib95501,2
NC_001803.1,lib95502,0
NC_001803.1,lib95503,1
NC_001803.1,lib95504,1
NC_001803.1,lib95505,2
NC_001803.1,lib95506,1
NC_001803.1,lib95507,2
NC_001803.1,lib95508,0
NC_001803.1,lib95509,3
NC_001803.1,lib95510,1
NC_001803.1,lib95511,1
NC_001803.1,lib95512,1
NC_001803.1,lib95513,1
NC_001803.1,lib95514,0
NC_001803.1,lib95515,0
NC_001803.1,lib95516,1
NC_001803.1,lib95517,2
NC_001803.1,lib95518,0
NC_001803.1,lib95519,1
NC_001803.1,lib95520,1
NC_001803.1,lib95521,1
NC_001803.1,lib95522,1
NC_001803.1,lib95523,1
NC_001803.1,lib95524,1
NC_001803.1,lib95525,2
NC_001803.1,lib95526,0
NC_001803.1,lib95527,2
NC_001803.1,lib95528,2
NC_001803.1,lib95529,1
NC_001803.1,lib95530,1
NC_001803.1,lib95531,0
NC_003461.1,lib97312,2
NC_003461.1,lib97313,1
NC_003461.1,lib97314,2
NC_003461.1,lib97315,1
NC_003461.1,lib97316,1
NC_003461.1,lib97317,0
NC_003461.1,lib97318,2
NC_003461.1,lib97319,0
NC_003461.1,lib97320,0
NC_003461.1,lib97321,1
NC_003461.1,lib97322,2
NC_003461.1,lib97323,0
NC_003461.1,lib97324,3
NC_003461.1,lib97325,2
NC_003461.1,lib97326,2
NC_003461.1,lib97327,2
NC_003461.1,lib97328,2
NC_003461.1,lib97329,0
NC_003461.1,lib97330,0
NC_003461.1,lib97331,1
NC_003461.1,lib97332,2
NC_003461.1,lib97333,1
NC_003461.1,lib97334,0
NC_003461.1,lib97335,1
NC_003461.1,lib97336,0
NC_003461.1,lib97337,1
NC_003461.1,lib97338,2
NC_003461.1,lib97339,3
NC_003461.1,lib97340,2
NC_003461.1,lib97341,0
NC_003461.1,lib97342,1
NC_003461.1,lib97343,1
NC_003461.1,lib97344,0
NC_003461.1,lib97345,3
NC_003461.1,lib97346,1
NC_003461.1,lib97347,1
NC_003461.1,lib97348,0
NC_003461.1,lib97349,3
NC_003461.1,lib97350,2
NC_003461.1,lib97351,1
NC_003461.1,lib97352,3
NC_003461.1,lib97353,0
NC_003461.1,lib97354,1
NC_003461.1,lib97355,0
NC_003461.1,lib97356,0
NC_003461.1,lib97357,1
NC_003461.1,lib97358,1
NC_003461.1,lib97359,0
NC_003461.1,lib97360,0
NC_003461.1,lib97361,1
NC_003461.1,lib97362,1
NC_003461.1,lib97363,1
NC_003461.1,lib95467,1
NC_003461.1,lib95468,1
NC_003461.1,lib95469,1
NC_003461.1,lib95470,0
NC_003461.1,lib95471,1
NC_003461.1,lib95472,1
NC_003461.1,lib95473,1
NC_003461.1,lib95474,2
NC_003461.1,lib95475,2
NC_003461.1,lib95476,1
NC_003461.1,lib95477,1
NC_003461.1,lib95478,1
NC_003461.1,lib95479,1
NC_003461.1,lib95480,0
NC_003461.1,lib95481,0
NC_003461.1,lib95482,0
NC_003461.1,lib95483,1
NC_003461.1,lib95484,0
NC_003461.1,lib95485,1
NC_003461.1,lib95486,1
NC_003461.1,lib95487,0
NC_003461.1,lib95488,1
NC_003461.1,lib95489,1
NC_003461.1,lib95490,2
NC_003461.1,lib95491,1
NC_003461.1,lib95492,0
NC_003461.1,lib95493,1
NC_003461.1,lib95494,2
NC_003461.1,lib95495,0
NC_003461.1,lib95496,0
NC_003461.1,lib95497,1
NC_003461.1,lib95498,0
NC_003461.1,lib95499,1
NC_003461.1,lib95500,0
NC_003461.1,lib95501,0
NC_003461.1,lib95502,1
NC_003461.1,lib95503,2
NC_003461.1,lib95504,3
NC_003461.1,lib95505,1
NC_003461.1,lib95506,1
NC_003461.1,lib95507,2
NC_003461.1,lib95508,0
NC_003461.1,lib95509,2
NC_003461.1,lib95510,0
NC_003461.1,lib95511,0
NC_003461.1,lib95512,1
NC_003461.1,lib95513,2
NC_003461.1,lib95514,0
NC_003461.1,lib95515,2
NC_003461.1,lib95516,3
NC_003461.1,lib95517,1
NC_003461.1,lib95518,1
NC_003461.1,lib95519,2
NC_003461.1,lib95520,1
NC_003461.1,lib95521,0
NC_003461.1,lib95522,1
NC_003461.1,lib95523,1
NC_003461.1,lib95524,0
NC_003461.1,lib95525,1
NC_003461.1,lib95526,2
NC_003461.1,lib95527,1
NC_003461.1,lib95528,4
NC_003461.1,lib95529,2
NC_003461.1,lib95530,1
NC_003461.1,lib95531,3
NC_001796.2,lib97312,1
NC_001796.2,lib97313,1
NC_001796.2,lib97314,3
NC_001796.2,lib97315,0
NC_001796.2,lib97316,1
NC_001796.2,lib97317,0
NC_001796.2,lib97318,2
NC_001796.2,lib97319,1
NC_001796.2,lib97320,1
NC_001796.2,lib97321,1
NC_001796.2,lib97322,1
NC_001796.2,lib97323,2
NC_001796.2,lib97324,0
NC_001796.2,lib97325,0
NC_001796.2,lib97326,3
NC_001796.2,lib97327,2
NC_001796.2,lib97328,1
NC_001796.2,lib97329,2
NC_001796.2,lib97330,1
NC_001796.2,lib97331,0
NC_001796.2,lib97332,2
NC_001796.2,lib97333,0
NC_001796.2,lib97334,1
NC_001796.2,lib97335,1
NC_001796.2,lib97336,1
NC_001796.2,lib97337,1
NC_001796.2,lib97338,0
NC_001796.2,lib97339,2
NC_001796.2,lib97340,1
NC_001796.2,lib97341,1
NC_001796.2,lib97342,0
NC_001796.2,lib97343,0
NC_001796.2,lib97344,0
NC_001796.2,lib97345,1
NC_001796.2,lib97346,1
NC_001796.2,lib97347,3
NC_001796.2,lib97348,1
NC_001796.2,lib97349,2
NC_001796.2,lib97350,1
NC_001796.2,lib97351,0
NC_001796.2,lib97352,0
NC_001796.2,lib97353,1
NC_001796.2,lib97354,1
NC_001796.2,lib97355,0
NC_001796.2,lib97356,1
NC_001796.2,lib97357,1
NC_001796.2,lib97358,1
NC_001796.2,lib97359,1
NC_001796.2,lib97360,1
NC_001796.2,lib97361,1
NC_001796.2,lib97362,0
NC_001796.2,lib97363,1
NC_001796.2,lib95467,0
NC_001796.2,lib95468,2
NC_001796.2,lib95469,1
NC_001796.2,lib95470,3
NC_001796.2,lib95471,1
NC_001796.2,lib95472,2
NC_001796.2,lib95473,1
NC_001796.2,lib95474,2
NC_001796.2,lib95475,1
NC_001796.2,lib95476,0
NC_001796.2,lib95477,1
NC_001796.2,lib95478,0
NC_001796.2,lib95479,1
NC_001796.2,lib95480,1
NC_001796.2,lib95481,1
NC_001796.2,lib95482,1
NC_001796.2,lib95483,2
NC_001796.2,lib95484,0
NC_001796.2,lib95485,0
NC_001796.2,lib95486,1
NC_001796.2,lib95487,1
NC_001796.2,lib95488,1
NC_001796.2,lib95489,1
NC_001796.2,lib95490,1
NC_001796.2,lib95491,2
NC_001796.2,lib95492,1
NC_001796.2,lib95493,0
NC_001796.2,lib95494,0
NC_001796.2,lib95495,0
NC_001796.2,lib95496,2
NC_001796.2,lib95497,1
NC_001796.2,lib95498,0
NC_001796.2,lib95499,1
NC_001796.2,lib95500,0
NC_001796.2,lib95501,0
NC_001796.2,lib95502,0
NC_001796.2,lib95503,0
NC_001796.2,lib95504,0
NC_001796.2,lib95505,1
NC_001796.2,lib95506,2
NC_001796.2,lib95507,0
NC_001796.2,lib95508,0
NC_001796.2,lib95509,1
NC_001796.2,lib95510,0
NC_001796.2,lib95511,1
NC_001796.2,lib95512,0
NC_001796.2,lib95513,0
NC_001796.2,lib95514,1
NC_001796.2,lib95515,0
NC_001796.2,lib95516,1
NC_001796.2,lib95517,1
NC_001796.2,lib95518,1
NC_001796.2,lib95519,1
NC_001796.2,lib95520,1
NC_001796.2,lib95521,0
NC_001796.2,lib95522,1
NC_001796.2,lib95523,3
NC_001796.2,lib95524,1
NC_001796.2,lib95525,2
NC_001796.2,lib95526,1
NC_001796.2,lib95527,0
NC_001796.2,lib95528,1
NC_001796.2,lib95529,1
NC_001796.2,lib95530,0
NC_001796.2,lib95531,1
EU627591.1,lib97312,1
EU627591.1,lib97313,0
EU627591.1,lib97314,0
EU627591.1,lib97315,0
EU627591.1,lib97316,1
EU627591.1,lib97317,1
EU627591.1,lib97318,2
EU627591.1,lib97319,2
EU627591.1,lib97320,2
EU627591.1,lib97321,1
EU627591.1,lib97322,2
EU627591.1,lib97323,1
EU627591.1,lib97324,1
EU627591.1,lib97325,0
EU627591.1,lib97326,1
EU627591.1,lib97327,2
EU627591.1,lib97328,4
EU627591.1,lib97329,1
EU627591.1,lib97330,1
EU627591.1,lib97331,3
EU627591.1,lib97332,2
EU627591.1,lib97333,3
EU627591.1,lib97334,0
EU627591.1,lib97335,1
EU627591.1,lib97336,3
EU627591.1,lib97337,1
EU627591.1,lib97338,1
EU627591.1,lib97339,0
EU627591.1,lib97340,1
EU627591.1,lib97341,0
EU627591.1,lib97342,1
EU627591.1,lib97343,0
EU627591.1,lib97344,2
EU627591.1,lib97345,2
EU627591.1,lib97346,2
EU627591.1,lib97347,2
EU627591.1,lib97348,1
EU627591.1,lib97349,0
EU627591.1,lib97350,0
EU627591.1,lib97351,0
EU627591.1,lib97352,1
EU627591.1,lib97353,1
EU627591.1,lib97354,2
EU627591.1,lib97355,1
EU627591.1,lib97356,0
EU627591.1,lib97357,0
EU627591.1,lib97358,1
EU627591.1,lib97359,3
EU627591.1,lib97360,0
EU627591.1,lib97361,1
EU627591.1,lib97362,1
EU627591.1,lib97363,0
EU627591.1,lib95467,1
EU627591.1,lib95468,1
EU627591.1,lib95469,3
EU627591.1,lib95470,0
EU627591.1,lib95471,2
EU627591.1,lib95472,1
EU627591.1,lib95473,0
EU627591.1,lib95474,2
EU627591.1,lib95475,0
EU627591.1,lib95476,0
EU627591.1,lib95477,0
EU627591.1,lib95478,0
EU627591.1,lib95479,1
EU627591.1,lib95480,0
EU627591.1,lib95481,1
EU627591.1,lib95482,2
EU627591.1,lib95483,2
EU627591.1,lib95484,0
EU627591.1,lib95485,1
EU627591.1,lib95486,1
EU627591.1,lib95487,0
EU627591.1,lib95488,2
EU627591.1,lib95489,3
EU627591.1,lib95490,1
EU627591.1,lib95491,1
EU627591.1,lib95492,1
EU627591.1,lib95493,1
EU627591.1,lib95494,3
EU627591.1,lib95495,0
EU627591.1,lib95496,1
EU627591.1,lib95497,2
EU627591.1,lib95498,2
EU627591.1,lib95499,1
EU627591.1,lib95500,0
EU627591.1,lib95501,1
EU627591.1,lib95502,2
EU627591.1,lib95503,1
EU627591.1,lib95504,1
EU627591.1,lib95505,1
EU627591.1,lib95506,4
EU627591.1,lib95507,0
EU627591.1,lib95508,0
EU627591.1,lib95509,1
EU627591.1,lib95510,1
EU627591.1,lib95511,1
EU627591.1,lib95512,0
EU627591.1,lib95513,1
EU627591.1,lib95514,0
EU627591.1,lib95515,0
EU627591.1,lib95516,1
EU627591.1,lib95517,1
EU627591.1,lib95518,0
EU627591.1,lib95519,0
EU627591.1,lib95520,2
EU627591.1,lib95521,1
EU627591.1,lib95522,2
EU627591.1,lib95523,1
EU627591.1,lib95524,2
EU627591.1,lib95525,1
EU627591.1,lib95526,1
EU627591.1,lib95527,1
EU627591.1,lib95528,1
EU627591.1,lib95529,0
EU627591.1,lib95530,0
EU627591.1,lib95531,2
AF533011.1,lib97312,1
AF533011.1,lib97313,1
AF533011.1,lib97314,2
AF533011.1,lib97315,0
AF533011.1,lib97316,2
AF533011.1,lib97317,2
AF533011.1,lib97318,2
AF533011.1,lib97319,1
AF533011.1,lib97320,0
AF533011.1,lib97321,2
AF533011.1,lib97322,1
AF533011.1,lib97323,1
AF533011.1,lib97324,1
AF533011.1,lib97325,4
AF533011.1,lib97326,2
AF533011.1,lib97327,1
AF533011.1,lib97328,1
AF533011.1,lib97329,1
AF533011.1,lib97330,2
AF533011.1,lib97331,1
AF533011.1,lib97332,1
AF533011.1,lib97333,1
AF533011.1,lib97334,4
AF533011.1,lib97335,1
AF533011.1,lib97336,0
AF533011.1,lib97337,0
AF533011.1,lib97338,2
AF533011.1,lib97339,2
AF533011.1,lib97340,2
AF533011.1,lib97341,2
AF533011.1,lib97342,1
AF533011.1,lib97343,2
AF533011.1,lib97344,0
AF533011.1,lib97345,2
AF533011.1,lib97346,1
AF533011.1,lib97347,2
AF533011.1,lib97348,1
AF533011.1,lib97349,0
AF533011.1,lib97350,2
AF533011.1,lib97351,1
AF533011.1,lib97352,1
AF533011.1,lib97353,0
AF533011.1,lib97354,2
AF533011.1,lib97355,1
AF533011.1,lib97356,1
AF533011.1,lib97357,0
AF533011.1,lib97358,1
AF533011.1,lib97359,2
AF533011.1,lib97360,1
AF533011.1,lib97361,1
AF533011.1,lib97362,2
AF533011.1,lib97363,0
AF533011.1,lib95467,1
AF533011.1,lib95468,0
AF533011.1,lib95469,1
AF533011.1,lib95470,2
AF533011.1,lib95471,1
AF533011.1,lib95472,2
AF533011.1,lib95473,0
AF533011.1,lib95474,1
AF533011.1,lib95475,0
AF533011.1,lib95476,1
AF533011.1,lib95477,2
AF533011.1,lib95478,1
AF533011.1,lib95479,1
AF533011.1,lib95480,2
AF533011.1,lib95481,1
AF533011.1,lib95482,2
AF533011.1,lib95483,2
AF533011.1,lib95484,0
AF533011.1,lib95485,1
AF533011.1,lib95486,0
AF533011.1,lib95487,2
AF533011.1,lib95488,1
AF533011.1,lib95489,0
AF533011.1,lib95490,1
AF533011.1,lib95491,1
AF533011.1,lib95492,0
AF533011.1,lib95493,1
AF533011.1,lib95494,1
AF533011.1,lib95495,1
AF533011.1,lib95496,0
AF533011.1,lib95497,1
AF533011.1,lib95498,0
AF533011.1,lib95499,0
AF533011.1,lib95500,1
AF533011.1,lib95501,0
AF533011.1,lib95502,0
AF533011.1,lib95503,3
AF533011.1,lib95504,0
AF533011.1,lib95505,1
AF533011.1,lib95506,1
AF533011.1,lib95507,1
AF533011.1,lib95508,0
AF533011.1,lib95509,0
AF533011.1,lib95510,0
AF533011.1,lib95511,0
AF533011.1,lib95512,1
AF533011.1,lib95513,1
AF533011.1,lib95514,1
AF533011.1,lib95515,1
AF533011.1,lib95516,3
AF533011.1,lib95517,0
AF533011.1,lib95518,1
AF533011.1,lib95519,1
AF533011.1,lib95520,0
AF533011.1,lib95521,0
AF533011.1,lib95522,1
AF533011.1,lib95523,2
AF533011.1,lib95524,2
AF533011.1,lib95525,2
AF533011.1,lib95526,1
AF533011.1,lib95527,0
