Viral_genome,libid,salmonCounts
AF533011.1,lib95528,0
AF533011.1,lib95529,2
AF533011.1,lib95530,0
AF533011.1,lib95531,1
NC_039199.1,lib97312,0
NC_039199.1,lib97313,0
NC_039199.1,lib97314,2
NC_039199.1,lib97315,2
NC_039199.1,lib97316,4
NC_039199.1,lib97317,0
NC_039199.1,lib97318,0
NC_039199.1,lib97319,1
NC_039199.1,lib97320,0
NC_039199.1,lib97321,1
NC_039199.1,lib97322,1
NC_039199.1,lib97323,0
NC_039199.1,lib97324,4
NC_039199.1,lib97325,0
NC_039199.1,lib97326,1
NC_039199.1,lib97327,1
NC_039199.1,lib97328,0
NC_039199.1,lib97329,1
NC_039199.1,lib97330,0
NC_039199.1,lib97331,2
NC_039199.1,lib97332,0
NC_039199.1,lib97333,2
NC_039199.1,lib97334,1
NC_039199.1,lib97335,0
NC_039199.1,lib97336,1
NC_039199.1,lib97337,0
NC_039199.1,lib97338,0
NC_039199.1,lib97339,1
NC_039199.1,lib97340,0
NC_039199.1,lib97341,1
NC_039199.1,lib97342,1
NC_039199.1,lib97343,1
NC_039199.1,lib97344,1
NC_039199.1,lib97345,3
NC_039199.1,lib97346,2
NC_039199.1,lib97347,1
NC_039199.1,lib97348,3
NC_039199.1,lib97349,1
NC_039199.1,lib97350,0
NC_039199.1,lib97351,2
NC_039199.1,lib97352,0
NC_039199.1,lib97353,1
NC_039199.1,lib97354,1
NC_039199.1,lib97355,0
NC_039199.1,lib97356,1
NC_039199.1,lib97357,0
NC_039199.1,lib97358,1
NC_039199.1,lib97359,0
NC_039199.1,lib97360,0
NC_039199.1,lib97361,1
NC_039199.1,lib97362,4
NC_039199.1,lib97363,0
NC_039199.1,lib95467,1
NC_039199.1,lib95468,1
NC_039199.1,lib95469,0
NC_039199.1,lib95470,1
NC_039199.1,lib95471,1
NC_039199.1,lib95472,0
NC_039199.1,lib95473,1
NC_039199.1,lib95474,0
NC_039199.1,lib95475,0
NC_039199.1,lib95476,2
NC_039199.1,lib95477,2
NC_039199.1,lib95478,0
NC_039199.1,lib95479,0
NC_039199.1,lib95480,1
NC_039199.1,lib95481,2
NC_039199.1,lib95482,2
NC_039199.1,lib95483,0
NC_039199.1,lib95484,2
NC_039199.1,lib95485,0
NC_039199.1,lib95486,1
NC_039199.1,lib95487,0
NC_039199.1,lib95488,0
NC_039199.1,lib95489,1
NC_039199.1,lib95490,0
NC_039199.1,lib95491,1
NC_039199.1,lib95492,2
NC_039199.1,lib95493,0
NC_039199.1,lib95494,4
NC_039199.1,lib95495,0
NC_039199.1,lib95496,0
NC_039199.1,lib95497,2
NC_039199.1,lib95498,0
NC_039199.1,lib95499,1
NC_039199.1,lib95500,1
NC_039199.1,lib95501,0
NC_039199.1,lib95502,1
NC_039199.1,lib95503,0
NC_039199.1,lib95504,0
NC_039199.1,lib95505,2
NC_039199.1,lib95506,1
NC_039199.1,lib95507,2
NC_039199.1,lib95508,0
NC_039199.1,lib95509,3
NC_039199.1,lib95510,0
NC_039199.1,lib95511,0
NC_039199.1,lib95512,1
NC_039199.1,lib95513,4
NC_039199.1,lib95514,1
NC_039199.1,lib95515,1
NC_039199.1,lib95516,2
NC_039199.1,lib95517,1
NC_039199.1,lib95518,1
NC_039199.1,lib95519,0
NC_039199.1,lib95520,1
NC_039199.1,lib95521,2
NC_039199.1,lib95522,0
NC_039199.1,lib95523,2
NC_039199.1,lib95524,1
NC_039199.1,lib95525,0
NC_039199.1,lib95526,1
NC_039199.1,lib95527,0
NC_039199.1,lib95528,1
NC_039199.1,lib95529,1
NC_039199.1,lib95530,0
NC_039199.1,lib95531,1
J01917.1,lib97312,3
J01917.1,lib97313,2
J01917.1,lib97314,4
J01917.1,lib97315,4
J01917.1,lib97316,4
J01917.1,lib97317,5
J01917.1,lib97318,4
J01917.1,lib97319,2
J01917.1,lib97320,6
J01917.1,lib97321,5
J01917.1,lib97322,5
J01917.1,lib97323,4
J01917.1,lib97324,8
J01917.1,lib97325,8
J01917.1,lib97326,7
J01917.1,lib97327,5
J01917.1,lib97328,3
J01917.1,lib97329,7
J01917.1,lib97330,2
J01917.1,lib97331,3
J01917.1,lib97332,2
J01917.1,lib97333,6
J01917.1,lib97334,3
J01917.1,lib97335,1
J01917.1,lib97336,3
J01917.1,lib97337,4
J01917.1,lib97338,4
J01917.1,lib97339,8
J01917.1,lib97340,3
J01917.1,lib97341,5
J01917.1,lib97342,4
J01917.1,lib97343,4
J01917.1,lib97344,0
J01917.1,lib97345,3
J01917.1,lib97346,3
J01917.1,lib97347,6
J01917.1,lib97348,4
J01917.1,lib97349,1
J01917.1,lib97350,3
J01917.1,lib97351,3
J01917.1,lib97352,4
J01917.1,lib97353,4
J01917.1,lib97354,2
J01917.1,lib97355,5
J01917.1,lib97356,6
J01917.1,lib97357,6
J01917.1,lib97358,6
J01917.1,lib97359,3
J01917.1,lib97360,5
J01917.1,lib97361,1
J01917.1,lib97362,8
J01917.1,lib97363,5
J01917.1,lib95467,6
J01917.1,lib95468,9
J01917.1,lib95469,2
J01917.1,lib95470,6
J01917.1,lib95471,7
J01917.1,lib95472,8
J01917.1,lib95473,4
J01917.1,lib95474,6
J01917.1,lib95475,4
J01917.1,lib95476,1
J01917.1,lib95477,3
J01917.1,lib95478,3
J01917.1,lib95479,2
J01917.1,lib95480,4
J01917.1,lib95481,1
J01917.1,lib95482,2
J01917.1,lib95483,6
J01917.1,lib95484,4
J01917.1,lib95485,2
J01917.1,lib95486,4
J01917.1,lib95487,2
J01917.1,lib95488,4
J01917.1,lib95489,2
J01917.1,lib95490,4
J01917.1,lib95491,6
J01917.1,lib95492,4
J01917.1,lib95493,3
J01917.1,lib95494,4
J01917.1,lib95495,0
J01917.1,lib95496,3
J01917.1,lib95497,2
J01917.1,lib95498,4
J01917.1,lib95499,2
J01917.1,lib95500,3
J01917.1,lib95501,3
J01917.1,lib95502,1
J01917.1,lib95503,8
J01917.1,lib95504,6
J01917.1,lib95505,2
J01917.1,lib95506,3
J01917.1,lib95507,4
J01917.1,lib95508,1
J01917.1,lib95509,3
J01917.1,lib95510,4
J01917.1,lib95511,1
J01917.1,lib95512,3
J01917.1,lib95513,6
J01917.1,lib95514,3
J01917.1,lib95515,3
J01917.1,lib95516,4
J01917.1,lib95517,2
J01917.1,lib95518,2
J01917.1,lib95519,6
J01917.1,lib95520,1
J01917.1,lib95521,5
J01917.1,lib95522,6
J01917.1,lib95523,5
J01917.1,lib95524,5
J01917.1,lib95525,5
J01917.1,lib95526,3
J01917.1,lib95527,6
J01917.1,lib95528,5
J01917.1,lib95529,1
J01917.1,lib95530,4
J01917.1,lib95531,5
MF374982.1,lib97312,0
MF374982.1,lib97313,0
MF374982.1,lib97314,0
MF374982.1,lib97315,0
MF374982.1,lib97316,1
MF374982.1,lib97317,1
MF374982.1,lib97318,0
MF374982.1,lib97319,0
MF374982.1,lib97320,0
MF374982.1,lib97321,2
MF374982.1,lib97322,0
MF374982.1,lib97323,2
MF374982.1,lib97324,1
MF374982.1,lib97325,1
MF374982.1,lib97326,0
MF374982.1,lib97327,1
MF374982.1,lib97328,2
MF374982.1,lib97329,1
MF374982.1,lib97330,0
MF374982.1,lib97331,1
MF374982.1,lib97332,0
MF374982.1,lib97333,0
MF374982.1,lib97334,0
MF374982.1,lib97335,1
MF374982.1,lib97336,1
MF374982.1,lib97337,1
MF374982.1,lib97338,0
MF374982.1,lib97339,2
MF374982.1,lib97340,0
MF374982.1,lib97341,0
MF374982.1,lib97342,0
MF374982.1,lib97343,1
MF374982.1,lib97344,0
MF374982.1,lib97345,0
MF374982.1,lib97346,0
MF374982.1,lib97347,0
MF374982.1,lib97348,0
MF374982.1,lib97349,0
MF374982.1,lib97350,0
MF374982.1,lib97351,0
MF374982.1,lib97352,2
MF374982.1,lib97353,0
MF374982.1,lib97354,0
MF374982.1,lib97355,0
MF374982.1,lib97356,0
MF374982.1,lib97357,0
MF374982.1,lib97358,0
MF374982.1,lib97359,1
MF374982.1,lib97360,2
MF374982.1,lib97361,0
MF374982.1,lib97362,0
MF374982.1,lib97363,0
MF374982.1,lib95467,0
MF374982.1,lib95468,0
MF374982.1,lib95469,1
MF374982.1,lib95470,0
MF374982.1,lib95471,0
MF374982.1,lib95472,0
MF374982.1,lib95473,1
MF374982.1,lib95474,1
MF374982.1,lib95475,1
MF374982.1,lib95476,1
MF374982.1,lib95477,0
MF374982.1,lib95478,0
MF374982.1,lib95479,0
MF374982.1,lib95480,0
MF374982.1,lib95481,0
MF374982.1,lib95482,1
MF374982.1,lib95483,0
MF374982.1,lib95484,0
MF374982.1,lib95485,0
MF374982.1,lib95486,0
MF374982.1,lib95487,0
MF374982.1,lib95488,0
MF374982.1,lib95489,0
MF374982.1,lib95490,1
MF374982.1,lib95491,1
MF374982.1,lib95492,0
MF374982.1,lib95493,0
MF374982.1,lib95494,2
MF374982.1,lib95495,0
MF374982.1,lib95496,0
MF374982.1,lib95497,0
MF374982.1,lib95498,0
MF374982.1,lib95499,0
MF374982.1,lib95500,0
MF374982.1,lib95501,0
MF374982.1,lib95502,0
MF374982.1,lib95503,0
MF374982.1,lib95504,1
MF374982.1,lib95505,0
MF374982.1,lib95506,0
MF374982.1,lib95507,1
MF374982.1,lib95508,0
MF374982.1,lib95509,1
MF374982.1,lib95510,0
MF374982.1,lib95511,0
MF374982.1,lib95512,2
MF374982.1,lib95513,0
MF374982.1,lib95514,0
MF374982.1,lib95515,0
MF374982.1,lib95516,2
MF374982.1,lib95517,0
MF374982.1,lib95518,0
MF374982.1,lib95519,0
MF374982.1,lib95520,1
MF374982.1,lib95521,0
MF374982.1,lib95522,1
MF374982.1,lib95523,1
MF374982.1,lib95524,0
MF374982.1,lib95525,0
MF374982.1,lib95526,0
MF374982.1,lib95527,1
MF374982.1,lib95528,0
MF374982.1,lib95529,0
MF374982.1,lib95530,0
MF374982.1,lib95531,1
MT797634.1,lib97312,1
MT797634.1,lib97313,3
MT797634.1,lib97314,4
MT797634.1,lib97315,2
MT797634.1,lib97316,2
MT797634.1,lib97317,3
MT797634.1,lib97318,0
MT797634.1,lib97319,1
MT797634.1,lib97320,3
MT797634.1,lib97321,2
MT797634.1,lib97322,1
MT797634.1,lib97323,2
MT797634.1,lib97324,3
MT797634.1,lib97325,2
MT797634.1,lib97326,3
MT797634.1,lib97327,2
MT797634.1,lib97328,3
MT797634.1,lib97329,3
MT797634.1,lib97330,2
MT797634.1,lib97331,1
MT797634.1,lib97332,3
MT797634.1,lib97333,4
MT797634.1,lib97334,2
MT797634.1,lib97335,2
MT797634.1,lib97336,2
MT797634.1,lib97337,4
MT797634.1,lib97338,0
MT797634.1,lib97339,4
MT797634.1,lib97340,7
MT797634.1,lib97341,1
MT797634.1,lib97342,5
MT797634.1,lib97343,4
MT797634.1,lib97344,1
MT797634.1,lib97345,1
MT797634.1,lib97346,3
MT797634.1,lib97347,2
MT797634.1,lib97348,1
MT797634.1,lib97349,1
MT797634.1,lib97350,4
MT797634.1,lib97351,2
MT797634.1,lib97352,0
MT797634.1,lib97353,3
MT797634.1,lib97354,1
MT797634.1,lib97355,3
MT797634.1,lib97356,2
MT797634.1,lib97357,3
MT797634.1,lib97358,7
MT797634.1,lib97359,0
MT797634.1,lib97360,2
MT797634.1,lib97361,1
MT797634.1,lib97362,1
MT797634.1,lib97363,0
MT797634.1,lib95467,0
MT797634.1,lib95468,4
MT797634.1,lib95469,1
MT797634.1,lib95470,5
MT797634.1,lib95471,2
MT797634.1,lib95472,3
MT797634.1,lib95473,2
MT797634.1,lib95474,3
MT797634.1,lib95475,2
MT797634.1,lib95476,3
MT797634.1,lib95477,1
MT797634.1,lib95478,0
MT797634.1,lib95479,2
MT797634.1,lib95480,1
MT797634.1,lib95481,3
MT797634.1,lib95482,3
MT797634.1,lib95483,1
MT797634.1,lib95484,3
MT797634.1,lib95485,1
MT797634.1,lib95486,2
MT797634.1,lib95487,0
MT797634.1,lib95488,2
MT797634.1,lib95489,1
MT797634.1,lib95490,0
MT797634.1,lib95491,2
MT797634.1,lib95492,2
MT797634.1,lib95493,0
MT797634.1,lib95494,0
MT797634.1,lib95495,3
MT797634.1,lib95496,0
MT797634.1,lib95497,0
MT797634.1,lib95498,1
MT797634.1,lib95499,2
MT797634.1,lib95500,1
MT797634.1,lib95501,2
MT797634.1,lib95502,0
MT797634.1,lib95503,2
MT797634.1,lib95504,3
MT797634.1,lib95505,1
MT797634.1,lib95506,5
MT797634.1,lib95507,0
MT797634.1,lib95508,1
MT797634.1,lib95509,3
MT797634.1,lib95510,2
MT797634.1,lib95511,0
MT797634.1,lib95512,2
MT797634.1,lib95513,4
MT797634.1,lib95514,2
MT797634.1,lib95515,2
MT797634.1,lib95516,6
MT797634.1,lib95517,2
MT797634.1,lib95518,1
MT797634.1,lib95519,2
MT797634.1,lib95520,3
MT797634.1,lib95521,0
MT797634.1,lib95522,2
MT797634.1,lib95523,3
MT797634.1,lib95524,4
MT797634.1,lib95525,1
MT797634.1,lib95526,2
MT797634.1,lib95527,0
MT797634.1,lib95528,1
MT797634.1,lib95529,0
MT797634.1,lib95530,2
MT797634.1,lib95531,7
NC_006577.2,lib97312,2
NC_006577.2,lib97313,1
NC_006577.2,lib97314,2
NC_006577.2,lib97315,1
NC_006577.2,lib97316,7
NC_006577.2,lib97317,2
NC_006577.2,lib97318,2
NC_006577.2,lib97319,6
NC_006577.2,lib97320,2
NC_006577.2,lib97321,2
NC_006577.2,lib97322,4
NC_006577.2,lib97323,4
NC_006577.2,lib97324,5
NC_006577.2,lib97325,4
NC_006577.2,lib97326,5
NC_006577.2,lib97327,8
NC_006577.2,lib97328,2
NC_006577.2,lib97329,0
NC_006577.2,lib97330,0
NC_006577.2,lib97331,1
NC_006577.2,lib97332,2
NC_006577.2,lib97333,4
NC_006577.2,lib97334,2
NC_006577.2,lib97335,4
NC_006577.2,lib97336,1
NC_006577.2,lib97337,2
NC_006577.2,lib97338,0
NC_006577.2,lib97339,3
NC_006577.2,lib97340,3
NC_006577.2,lib97341,3
NC_006577.2,lib97342,2
NC_006577.2,lib97343,4
NC_006577.2,lib97344,0
NC_006577.2,lib97345,5
NC_006577.2,lib97346,1
NC_006577.2,lib97347,2
NC_006577.2,lib97348,4
NC_006577.2,lib97349,0
NC_006577.2,lib97350,1
NC_006577.2,lib97351,1
NC_006577.2,lib97352,3
NC_006577.2,lib97353,3
NC_006577.2,lib97354,3
NC_006577.2,lib97355,0
NC_006577.2,lib97356,0
NC_006577.2,lib97357,3
NC_006577.2,lib97358,5
NC_006577.2,lib97359,0
NC_006577.2,lib97360,3
NC_006577.2,lib97361,1
NC_006577.2,lib97362,3
NC_006577.2,lib97363,0
NC_006577.2,lib95467,3
NC_006577.2,lib95468,2
NC_006577.2,lib95469,4
NC_006577.2,lib95470,3
NC_006577.2,lib95471,2
NC_006577.2,lib95472,6
NC_006577.2,lib95473,5
NC_006577.2,lib95474,4
NC_006577.2,lib95475,2
NC_006577.2,lib95476,2
NC_006577.2,lib95477,1
NC_006577.2,lib95478,2
NC_006577.2,lib95479,2
NC_006577.2,lib95480,0
NC_006577.2,lib95481,3
NC_006577.2,lib95482,2
NC_006577.2,lib95483,2
NC_006577.2,lib95484,0
NC_006577.2,lib95485,3
NC_006577.2,lib95486,3
NC_006577.2,lib95487,2
NC_006577.2,lib95488,0
NC_006577.2,lib95489,2
NC_006577.2,lib95490,2
NC_006577.2,lib95491,3
NC_006577.2,lib95492,2
NC_006577.2,lib95493,2
NC_006577.2,lib95494,6
NC_006577.2,lib95495,2
NC_006577.2,lib95496,0
NC_006577.2,lib95497,0
NC_006577.2,lib95498,1
NC_006577.2,lib95499,0
NC_006577.2,lib95500,1
NC_006577.2,lib95501,5
NC_006577.2,lib95502,1
NC_006577.2,lib95503,1
NC_006577.2,lib95504,5
NC_006577.2,lib95505,3
NC_006577.2,lib95506,2
NC_006577.2,lib95507,0
NC_006577.2,lib95508,0
NC_006577.2,lib95509,5
NC_006577.2,lib95510,3
NC_006577.2,lib95511,0
NC_006577.2,lib95512,3
NC_006577.2,lib95513,3
NC_006577.2,lib95514,0
NC_006577.2,lib95515,2
NC_006577.2,lib95516,1
NC_006577.2,lib95517,1
NC_006577.2,lib95518,0
NC_006577.2,lib95519,4
NC_006577.2,lib95520,1
NC_006577.2,lib95521,3
NC_006577.2,lib95522,4
NC_006577.2,lib95523,3
NC_006577.2,lib95524,0
NC_006577.2,lib95525,6
NC_006577.2,lib95526,2
NC_006577.2,lib95527,2
NC_006577.2,lib95528,2
NC_006577.2,lib95529,0
NC_006577.2,lib95530,0
NC_006577.2,lib95531,6
NC_005831.2,lib97312,2
NC_005831.2,lib97313,2
NC_005831.2,lib97314,3
NC_005831.2,lib97315,1
NC_005831.2,lib97316,1
NC_005831.2,lib97317,1
NC_005831.2,lib97318,4
NC_005831.2,lib97319,4
NC_005831.2,lib97320,1
NC_005831.2,lib97321,1
NC_005831.2,lib97322,0
NC_005831.2,lib97323,3
NC_005831.2,lib97324,4
NC_005831.2,lib97325,0
NC_005831.2,lib97326,1
NC_005831.2,lib97327,2
NC_005831.2,lib97328,3
NC_005831.2,lib97329,3
NC_005831.2,lib97330,4
NC_005831.2,lib97331,4
NC_005831.2,lib97332,6
NC_005831.2,lib97333,4
NC_005831.2,lib97334,2
NC_005831.2,lib97335,3
NC_005831.2,lib97336,2
NC_005831.2,lib97337,0
NC_005831.2,lib97338,1
NC_005831.2,lib97339,1
NC_005831.2,lib97340,2
NC_005831.2,lib97341,3
NC_005831.2,lib97342,1
NC_005831.2,lib97343,0
NC_005831.2,lib97344,2
NC_005831.2,lib97345,0
NC_005831.2,lib97346,2
NC_005831.2,lib97347,2
NC_005831.2,lib97348,2
NC_005831.2,lib97349,1
NC_005831.2,lib97350,3
NC_005831.2,lib97351,2
NC_005831.2,lib97352,2
NC_005831.2,lib97353,1
NC_005831.2,lib97354,3
NC_005831.2,lib97355,0
NC_005831.2,lib97356,3
NC_005831.2,lib97357,1
NC_005831.2,lib97358,2
NC_005831.2,lib97359,2
NC_005831.2,lib97360,3
NC_005831.2,lib97361,1
NC_005831.2,lib97362,1
NC_005831.2,lib97363,0
NC_005831.2,lib95467,1
NC_005831.2,lib95468,3
NC_005831.2,lib95469,0
NC_005831.2,lib95470,2
NC_005831.2,lib95471,2
NC_005831.2,lib95472,1
NC_005831.2,lib95473,0
NC_005831.2,lib95474,2
NC_005831.2,lib95475,2
NC_005831.2,lib95476,1
NC_005831.2,lib95477,2
NC_005831.2,lib95478,2
NC_005831.2,lib95479,1
NC_005831.2,lib95480,3
NC_005831.2,lib95481,0
NC_005831.2,lib95482,0
NC_005831.2,lib95483,2
NC_005831.2,lib95484,1
NC_005831.2,lib95485,2
NC_005831.2,lib95486,1
NC_005831.2,lib95487,1
NC_005831.2,lib95488,1
NC_005831.2,lib95489,1
NC_005831.2,lib95490,3
NC_005831.2,lib95491,2
NC_005831.2,lib95492,2
NC_005831.2,lib95493,2
NC_005831.2,lib95494,1
NC_005831.2,lib95495,0
NC_005831.2,lib95496,2
NC_005831.2,lib95497,1
NC_005831.2,lib95498,2
NC_005831.2,lib95499,2
NC_005831.2,lib95500,1
NC_005831.2,lib95501,2
NC_005831.2,lib95502,1
NC_005831.2,lib95503,0
NC_005831.2,lib95504,2
NC_005831.2,lib95505,1
NC_005831.2,lib95506,3
NC_005831.2,lib95507,2
NC_005831.2,lib95508,0
NC_005831.2,lib95509,3
NC_005831.2,lib95510,1
NC_005831.2,lib95511,1
NC_005831.2,lib95512,1
NC_005831.2,lib95513,1
NC_005831.2,lib95514,0
NC_005831.2,lib95515,3
NC_005831.2,lib95516,4
NC_005831.2,lib95517,4
NC_005831.2,lib95518,1
NC_005831.2,lib95519,0
NC_005831.2,lib95520,2
NC_005831.2,lib95521,0
NC_005831.2,lib95522,4
NC_005831.2,lib95523,3
NC_005831.2,lib95524,2
NC_005831.2,lib95525,4
NC_005831.2,lib95526,2
NC_005831.2,lib95527,1
NC_005831.2,lib95528,1
NC_005831.2,lib95529,1
NC_005831.2,lib95530,3
NC_005831.2,lib95531,6
AY391777.1,lib97312,2
AY391777.1,lib97313,3
AY391777.1,lib97314,2
AY391777.1,lib97315,2
AY391777.1,lib97316,1
AY391777.1,lib97317,2
AY391777.1,lib97318,2
AY391777.1,lib97319,3
AY391777.1,lib97320,1
AY391777.1,lib97321,3
AY391777.1,lib97322,2
AY391777.1,lib97323,0
AY391777.1,lib97324,4
AY391777.1,lib97325,4
AY391777.1,lib97326,1
AY391777.1,lib97327,1
AY391777.1,lib97328,4
AY391777.1,lib97329,3
AY391777.1,lib97330,1
AY391777.1,lib97331,0
AY391777.1,lib97332,1
AY391777.1,lib97333,1
AY391777.1,lib97334,2
AY391777.1,lib97335,3
AY391777.1,lib97336,3
AY391777.1,lib97337,2
AY391777.1,lib97338,2
AY391777.1,lib97339,5
AY391777.1,lib97340,2
AY391777.1,lib97341,6
AY391777.1,lib97342,3
AY391777.1,lib97343,3
AY391777.1,lib97344,2
AY391777.1,lib97345,1
AY391777.1,lib97346,2
AY391777.1,lib97347,6
AY391777.1,lib97348,4
AY391777.1,lib97349,5
AY391777.1,lib97350,5
AY391777.1,lib97351,1
AY391777.1,lib97352,1
AY391777.1,lib97353,4
AY391777.1,lib97354,1
AY391777.1,lib97355,2
AY391777.1,lib97356,1
AY391777.1,lib97357,2
AY391777.1,lib97358,3
AY391777.1,lib97359,4
AY391777.1,lib97360,2
AY391777.1,lib97361,0
AY391777.1,lib97362,1
AY391777.1,lib97363,2
AY391777.1,lib95467,3
AY391777.1,lib95468,3
AY391777.1,lib95469,2
AY391777.1,lib95470,0
AY391777.1,lib95471,3
AY391777.1,lib95472,2
AY391777.1,lib95473,1
AY391777.1,lib95474,4
AY391777.1,lib95475,4
AY391777.1,lib95476,1
AY391777.1,lib95477,1
AY391777.1,lib95478,1
AY391777.1,lib95479,0
AY391777.1,lib95480,2
AY391777.1,lib95481,3
AY391777.1,lib95482,1
AY391777.1,lib95483,4
AY391777.1,lib95484,3
AY391777.1,lib95485,0
AY391777.1,lib95486,2
AY391777.1,lib95487,1
AY391777.1,lib95488,1
AY391777.1,lib95489,2
AY391777.1,lib95490,3
AY391777.1,lib95491,1
AY391777.1,lib95492,3
AY391777.1,lib95493,3
AY391777.1,lib95494,2
AY391777.1,lib95495,2
AY391777.1,lib95496,3
AY391777.1,lib95497,0
AY391777.1,lib95498,2
AY391777.1,lib95499,1
AY391777.1,lib95500,2
AY391777.1,lib95501,6
AY391777.1,lib95502,1
AY391777.1,lib95503,2
AY391777.1,lib95504,1
AY391777.1,lib95505,2
AY391777.1,lib95506,2
AY391777.1,lib95507,0
AY391777.1,lib95508,0
AY391777.1,lib95509,5
AY391777.1,lib95510,0
AY391777.1,lib95511,1
AY391777.1,lib95512,1
AY391777.1,lib95513,1
AY391777.1,lib95514,2
AY391777.1,lib95515,3
AY391777.1,lib95516,5
AY391777.1,lib95517,1
AY391777.1,lib95518,1
AY391777.1,lib95519,1
AY391777.1,lib95520,1
AY391777.1,lib95521,2
AY391777.1,lib95522,4
AY391777.1,lib95523,3
AY391777.1,lib95524,4
AY391777.1,lib95525,0
AY391777.1,lib95526,1
AY391777.1,lib95527,2
AY391777.1,lib95528,3
AY391777.1,lib95529,2
AY391777.1,lib95530,0
AY391777.1,lib95531,3
NC_045512.2,lib97312,219
NC_045512.2,lib97313,351
NC_045512.2,lib97314,530
NC_045512.2,lib97315,206
NC_045512.2,lib97316,439
NC_045512.2,lib97317,357
NC_045512.2,lib97318,389
NC_045512.2,lib97319,312
NC_045512.2,lib97320,377
NC_045512.2,lib97321,357
NC_045512.2,lib97322,353
NC_045512.2,lib97323,371
NC_045512.2,lib97324,541
NC_045512.2,lib97325,491
NC_045512.2,lib97326,486
NC_045512.2,lib97327,882
NC_045512.2,lib97328,239
NC_045512.2,lib97329,276
NC_045512.2,lib97330,244
NC_045512.2,lib97331,236
NC_045512.2,lib97332,328
NC_045512.2,lib97333,316
NC_045512.2,lib97334,315
NC_045512.2,lib97335,369
NC_045512.2,lib97336,239
NC_045512.2,lib97337,274
NC_045512.2,lib97338,250
NC_045512.2,lib97339,337
NC_045512.2,lib97340,357
NC_045512.2,lib97341,556
NC_045512.2,lib97342,363
NC_045512.2,lib97343,407
NC_045512.2,lib97344,277
NC_045512.2,lib97345,368
NC_045512.2,lib97346,352
NC_045512.2,lib97347,409
NC_045512.2,lib97348,560
NC_045512.2,lib97349,677
NC_045512.2,lib97350,311
NC_045512.2,lib97351,407
NC_045512.2,lib97352,287
NC_045512.2,lib97353,731
NC_045512.2,lib97354,497
NC_045512.2,lib97355,360
NC_045512.2,lib97356,571
NC_045512.2,lib97357,655
NC_045512.2,lib97358,442
NC_045512.2,lib97359,534
NC_045512.2,lib97360,205
NC_045512.2,lib97361,1042
NC_045512.2,lib97362,678
NC_045512.2,lib97363,395
NC_045512.2,lib95467,348
NC_045512.2,lib95468,1166
NC_045512.2,lib95469,3041
NC_045512.2,lib95470,642
NC_045512.2,lib95471,512
NC_045512.2,lib95472,1858
NC_045512.2,lib95473,363
NC_045512.2,lib95474,267
NC_045512.2,lib95475,178
NC_045512.2,lib95476,150
NC_045512.2,lib95477,510
NC_045512.2,lib95478,139
NC_045512.2,lib95479,147
NC_045512.2,lib95480,285
NC_045512.2,lib95481,1298
NC_045512.2,lib95482,374
NC_045512.2,lib95483,151
NC_045512.2,lib95484,1421
NC_045512.2,lib95485,199
NC_045512.2,lib95486,218
NC_045512.2,lib95487,377
NC_045512.2,lib95488,264
NC_045512.2,lib95489,234
NC_045512.2,lib95490,554
NC_045512.2,lib95491,255
NC_045512.2,lib95492,292
NC_045512.2,lib95493,345
NC_045512.2,lib95494,528
NC_045512.2,lib95495,137
NC_045512.2,lib95496,494
NC_045512.2,lib95497,68
NC_045512.2,lib95498,176
NC_045512.2,lib95499,150
NC_045512.2,lib95500,194
NC_045512.2,lib95501,165
NC_045512.2,lib95502,123
NC_045512.2,lib95503,148
NC_045512.2,lib95504,512
NC_045512.2,lib95505,125
NC_045512.2,lib95506,359
NC_045512.2,lib95507,177
NC_045512.2,lib95508,325
NC_045512.2,lib95509,1005
NC_045512.2,lib95510,906
NC_045512.2,lib95511,431
NC_045512.2,lib95512,130
NC_045512.2,lib95513,313
NC_045512.2,lib95514,150
NC_045512.2,lib95515,1345
NC_045512.2,lib95516,690
NC_045512.2,lib95517,174
NC_045512.2,lib95518,136
NC_045512.2,lib95519,203
NC_045512.2,lib95520,140
NC_045512.2,lib95521,435
NC_045512.2,lib95522,323
NC_045512.2,lib95523,1001
NC_045512.2,lib95524,240
NC_045512.2,lib95525,356
NC_045512.2,lib95526,242
NC_045512.2,lib95527,120
NC_045512.2,lib95528,108
NC_045512.2,lib95529,118
NC_045512.2,lib95530,196
NC_045512.2,lib95531,315
NC_038306.1,lib97312,0
NC_038306.1,lib97313,1
NC_038306.1,lib97314,1
NC_038306.1,lib97315,1
NC_038306.1,lib97316,0
NC_038306.1,lib97317,0
NC_038306.1,lib97318,0
NC_038306.1,lib97319,1
NC_038306.1,lib97320,1
NC_038306.1,lib97321,0
NC_038306.1,lib97322,2
NC_038306.1,lib97323,0
NC_038306.1,lib97324,2
NC_038306.1,lib97325,2
NC_038306.1,lib97326,0
NC_038306.1,lib97327,0
NC_038306.1,lib97328,1
NC_038306.1,lib97329,1
NC_038306.1,lib97330,2
NC_038306.1,lib97331,0
NC_038306.1,lib97332,0
NC_038306.1,lib97333,0
NC_038306.1,lib97334,2
NC_038306.1,lib97335,2
NC_038306.1,lib97336,0
NC_038306.1,lib97337,0
NC_038306.1,lib97338,0
NC_038306.1,lib97339,1
NC_038306.1,lib97340,2
NC_038306.1,lib97341,1
