Viral_genome,libid,salmonQuantCounts
EU627591.1,lib97346,0
EU627591.1,lib97347,0
EU627591.1,lib97348,0
EU627591.1,lib97349,0
EU627591.1,lib97350,0
EU627591.1,lib97351,0
EU627591.1,lib97352,0
EU627591.1,lib97353,0
EU627591.1,lib97354,0
EU627591.1,lib97355,0
EU627591.1,lib97356,0
EU627591.1,lib97357,0
EU627591.1,lib97358,0
EU627591.1,lib97359,0
EU627591.1,lib97360,0
EU627591.1,lib97361,0
EU627591.1,lib97362,0
EU627591.1,lib97363,0
EU627591.1,lib95467,0
EU627591.1,lib95468,0
EU627591.1,lib95469,0
EU627591.1,lib95470,0
EU627591.1,lib95471,0
EU627591.1,lib95472,0
EU627591.1,lib95473,0
EU627591.1,lib95474,0
EU627591.1,lib95475,0
EU627591.1,lib95476,0
EU627591.1,lib95477,0
EU627591.1,lib95478,0
EU627591.1,lib95479,0
EU627591.1,lib95480,0
EU627591.1,lib95481,0
EU627591.1,lib95482,0
EU627591.1,lib95483,0
EU627591.1,lib95484,0
EU627591.1,lib95485,0
EU627591.1,lib95486,0
EU627591.1,lib95487,0
EU627591.1,lib95488,0
EU627591.1,lib95489,0
EU627591.1,lib95490,0
EU627591.1,lib95491,0
EU627591.1,lib95492,0
EU627591.1,lib95493,0
EU627591.1,lib95494,0
EU627591.1,lib95495,0
EU627591.1,lib95496,0
EU627591.1,lib95497,0
EU627591.1,lib95498,0
EU627591.1,lib95499,0
EU627591.1,lib95500,0
EU627591.1,lib95501,0
EU627591.1,lib95502,0
EU627591.1,lib95503,0
EU627591.1,lib95504,0
EU627591.1,lib95505,0
EU627591.1,lib95506,0
EU627591.1,lib95507,0
EU627591.1,lib95508,0
EU627591.1,lib95509,0
EU627591.1,lib95510,0
EU627591.1,lib95511,0
EU627591.1,lib95512,0
EU627591.1,lib95513,0
EU627591.1,lib95514,0
EU627591.1,lib95515,0
EU627591.1,lib95516,0
EU627591.1,lib95517,0
EU627591.1,lib95518,0
EU627591.1,lib95519,0
EU627591.1,lib95520,0
EU627591.1,lib95521,0
EU627591.1,lib95522,0
EU627591.1,lib95523,0
EU627591.1,lib95524,0
EU627591.1,lib95525,0
EU627591.1,lib95526,0
EU627591.1,lib95527,0
EU627591.1,lib95528,0
EU627591.1,lib95529,0
EU627591.1,lib95530,0
EU627591.1,lib95531,0
AF533011.1,lib97312,0
AF533011.1,lib97313,0
AF533011.1,lib97314,0
AF533011.1,lib97315,0
AF533011.1,lib97316,0
AF533011.1,lib97317,0
AF533011.1,lib97318,0
AF533011.1,lib97319,0
AF533011.1,lib97320,0
AF533011.1,lib97321,0
AF533011.1,lib97322,0
AF533011.1,lib97323,0
AF533011.1,lib97324,0
AF533011.1,lib97325,0
AF533011.1,lib97326,0
AF533011.1,lib97327,0
AF533011.1,lib97328,0
AF533011.1,lib97329,0
AF533011.1,lib97330,0
AF533011.1,lib97331,0
AF533011.1,lib97332,0
AF533011.1,lib97333,0
AF533011.1,lib97334,0
AF533011.1,lib97335,0
AF533011.1,lib97336,0
AF533011.1,lib97337,0
AF533011.1,lib97338,0
AF533011.1,lib97339,0
AF533011.1,lib97340,0
AF533011.1,lib97341,0
AF533011.1,lib97342,0
AF533011.1,lib97343,0
AF533011.1,lib97344,0
AF533011.1,lib97345,0
AF533011.1,lib97346,0
AF533011.1,lib97347,0
AF533011.1,lib97348,0
AF533011.1,lib97349,0
AF533011.1,lib97350,0
AF533011.1,lib97351,0
AF533011.1,lib97352,0
AF533011.1,lib97353,0
AF533011.1,lib97354,0
AF533011.1,lib97355,0
AF533011.1,lib97356,0
AF533011.1,lib97357,0
AF533011.1,lib97358,0
AF533011.1,lib97359,0
AF533011.1,lib97360,0
AF533011.1,lib97361,0
AF533011.1,lib97362,0
AF533011.1,lib97363,0
AF533011.1,lib95467,0
AF533011.1,lib95468,0
AF533011.1,lib95469,0
AF533011.1,lib95470,0
AF533011.1,lib95471,0
AF533011.1,lib95472,0
AF533011.1,lib95473,0
AF533011.1,lib95474,0
AF533011.1,lib95475,0
AF533011.1,lib95476,0
AF533011.1,lib95477,0
AF533011.1,lib95478,0
AF533011.1,lib95479,0
AF533011.1,lib95480,0
AF533011.1,lib95481,0
AF533011.1,lib95482,0
AF533011.1,lib95483,0
AF533011.1,lib95484,0
AF533011.1,lib95485,0
AF533011.1,lib95486,0
AF533011.1,lib95487,0
AF533011.1,lib95488,0
AF533011.1,lib95489,0
AF533011.1,lib95490,0
AF533011.1,lib95491,0
AF533011.1,lib95492,0
AF533011.1,lib95493,0
AF533011.1,lib95494,0
AF533011.1,lib95495,0
AF533011.1,lib95496,0
AF533011.1,lib95497,0
AF533011.1,lib95498,0
AF533011.1,lib95499,0
AF533011.1,lib95500,0
AF533011.1,lib95501,0
AF533011.1,lib95502,0
AF533011.1,lib95503,0
AF533011.1,lib95504,0
AF533011.1,lib95505,0
AF533011.1,lib95506,0
AF533011.1,lib95507,0
AF533011.1,lib95508,0
AF533011.1,lib95509,0
AF533011.1,lib95510,0
AF533011.1,lib95511,0
AF533011.1,lib95512,0
AF533011.1,lib95513,0
AF533011.1,lib95514,0
AF533011.1,lib95515,0
AF533011.1,lib95516,0
AF533011.1,lib95517,0
AF533011.1,lib95518,0
AF533011.1,lib95519,0
AF533011.1,lib95520,0
AF533011.1,lib95521,0
AF533011.1,lib95522,0
AF533011.1,lib95523,0
AF533011.1,lib95524,0
AF533011.1,lib95525,0
AF533011.1,lib95526,0
AF533011.1,lib95527,0
AF533011.1,lib95528,0
AF533011.1,lib95529,0
AF533011.1,lib95530,0
AF533011.1,lib95531,0
NC_039199.1,lib97312,0
NC_039199.1,lib97313,0
NC_039199.1,lib97314,0
NC_039199.1,lib97315,0
NC_039199.1,lib97316,0
NC_039199.1,lib97317,0
NC_039199.1,lib97318,0
