ensembl_gene_id,hgnc_symbol,mean.CPM,min.CPM,max.CPM,express.in.libs
ENSG00000100142,POLR2F,0.011884446998913896,0,0.3446489629685029,1
ENSG00000100146,SOX10,0,0,0,0
ENSG00000100156,SLC16A8,0.01217679468723525,0,0.35312704592982236,1
ENSG00000100170,SLC5A1,0,0,0,0
ENSG00000100249,C22orf31,0,0,0,0
ENSG00000100253,MIOX,0.00851141374199241,0,0.24683099851777984,1
ENSG00000100285,NEFH,0,0,0,0
ENSG00000100302,RASD2,0.06718246488696276,0,1.3315443295518954,2
ENSG00000100312,ACR,0,0,0,0
ENSG00000100341,PNPLA5,0,0,0,0
ENSG00000100373,UPK3A,0.018654434033985173,0,0.5409785869855699,1
ENSG00000100385,IL2RB,0.0406285595696753,0,1.1782282275205835,1
ENSG00000100399,CHADL,0.018363489519157714,0,0.5325411960555738,1
ENSG00000100427,MLC1,0,0,0,0
ENSG00000100557,CCDC198,0.023768893997827792,0,0.6892979259370058,1
ENSG00000100565,LRRC74A,0.010157139892418825,0,0.2945570568801459,1
ENSG00000100593,ISM2,0,0,0,0
ENSG00000100625,SIX4,0.030915219570323272,0,0.896541367539375,1
ENSG00000100665,SERPINA4,0,0,0,0
ENSG00000100721,TCL1A,0,0,0,0
ENSG00000100739,BDKRB1,0.06209315701121294,0,1.8007015533251756,1
ENSG00000100842,EFS,0,0,0,0
ENSG00000100884,CPNE6,0.10827356838785876,0,2.7427457314060453,2
ENSG00000100968,NFATC4,0.04473991138342797,0,1.0973794797499468,2
ENSG00000100987,VSX1,0.027596958671650205,0,0.8003118014778557,1
ENSG00000101017,CD40,0.13538008342753238,0,3.484136592090956,2
ENSG00000101074,R3HDML,0.027725224870750315,0,0.8040315212517591,1
ENSG00000101076,HNF4A,0.037263579192714225,0,0.6507662772915107,2
ENSG00000101098,RIMS4,0,0,0,0
ENSG00000101115,SALL4,0.048294677675387844,0,1.4005456525862476,1
ENSG00000101134,DOK5,0,0,0,0
ENSG00000101180,HRH3,0.3504611733817974,0,10.163374028072123,1
ENSG00000101188,NTSR1,0.010157139892418825,0,0.2945570568801459,1
ENSG00000101200,AVP,0,0,0,0
ENSG00000101203,COL20A1,0.0261449805317285,0,0.7582044354201267,1
ENSG00000101204,CHRNA4,0.011884446998913896,0,0.3446489629685029,1
ENSG00000101230,ISM1,0.051045700098545845,0,1.2334943043400497,2
ENSG00000101276,SLC52A3,0.01217679468723525,0,0.35312704592982236,1
ENSG00000101292,PROKR2,0,0,0,0
ENSG00000101306,MYLK2,0.05788912165007838,0,1.3256574819224507,2
ENSG00000101307,SIRPB1,0,0,0,0
ENSG00000101323,HAO1,0,0,0,0
ENSG00000101327,PDYN,0,0,0,0
ENSG00000101331,CCM2L,0,0,0,0
ENSG00000101336,HCK,0.07159902968180469,0,1.7232448148425143,2
ENSG00000101349,PAK5,0.048294677675387844,0,1.4005456525862476,1
ENSG00000101405,OXT,0.006899239667912551,0,0.20007795036946394,1
ENSG00000101425,BPI,0,0,0,0
ENSG00000101435,CST9L,0,0,0,0
ENSG00000101438,SLC32A1,0.13863770736078368,0,4.020493513462728,1
ENSG00000101441,CST4,0.03565334099674168,0,1.0339468889055086,1
ENSG00000101446,SPINT3,0,0,0,0
ENSG00000101448,EPPIN,0,0,0,0
ENSG00000101463,SYNDIG1,0,0,0,0
ENSG00000101489,CELF4,0.027596958671650205,0,0.8003118014778557,1
ENSG00000101542,CDH20,0.02063133040136913,0,0.5983085816397046,1
ENSG00000101680,LAMA1,0.02172260240229882,0,0.42987751929720186,2
ENSG00000101746,NOL4,0.05360127978089879,0,1.124559594348863,2
ENSG00000101812,H2BW2,0,0,0,0
ENSG00000101825,MXRA5,0,0,0,0
ENSG00000101842,VSIG1,0,0,0,0
ENSG00000101883,RHOXF1,0.02031427978483765,0,0.5891141137602918,2
ENSG00000101892,ATP1B4,0.027392258747714403,0,0.7943755036837178,1
ENSG00000101916,TLR8,0,0,0,0
ENSG00000101938,CHRDL1,0,0,0,0
ENSG00000101951,PAGE4,0.010157139892418825,0,0.2945570568801459,1
ENSG00000101958,GLRA2,0.021267143178276722,0,0.6167471521700248,1
ENSG00000101977,MCF2,0.023768893997827792,0,0.6892979259370058,1
ENSG00000101981,F9,0,0,0,0
ENSG00000102010,BMX,0,0,0,0
ENSG00000102021,LUZP4,0,0,0,0
ENSG00000102076,OPN1LW,0,0,0,0
ENSG00000102104,RS1,0,0,0,0
ENSG00000102109,PCSK1N,0,0,0,0
ENSG00000102128,RAB40AL,0.027022125432571868,0,0.7836416375445843,1
ENSG00000102195,GPR50,0,0,0,0
ENSG00000102230,PCYT1B,0.012925972348837507,0,0.3748531981162877,1
ENSG00000102239,BRS3,0.05591490001228301,0,1.1782282275205835,2
ENSG00000102243,VGLL1,0.027694826004139955,0,0.8031499541200589,1
ENSG00000102271,KLHL4,0,0,0,0
ENSG00000102287,GABRE,0.03240865430156458,0,0.5409785869855699,2
ENSG00000102313,ITIH6,0.013798479335825103,0,0.40015590073892787,1
ENSG00000102468,HTR2A,0.028811573926403992,0,0.5409785869855699,2
ENSG00000102575,ACP5,0,0,0,0
ENSG00000102678,FGF9,0.025851944697675013,0,0.7497063962325754,1
ENSG00000102683,SGCG,0,0,0,0
ENSG00000102794,ACOD1,0,0,0,0
ENSG00000102837,OLFM4,0.27076016685506477,0,6.968273184181912,2
ENSG00000102854,MSLN,0.1660423900616269,0,2.6513149638449014,2
ENSG00000102891,MT4,0,0,0,0
ENSG00000102935,ZNF423,0,0,0,0
ENSG00000102970,CCL17,0.10115436553410831,0,2.400935404433567,2
ENSG00000103310,ZP2,0.01217679468723525,0,0.35312704592982236,1
ENSG00000103355,PRSS33,0,0,0,0
ENSG00000103426,CORO7-PAM16,0,0,0,0
ENSG00000103528,SYT17,0.0243535893744705,0,0.7062540918596447,1
ENSG00000103546,SLC6A2,0,0,0,0
ENSG00000103569,AQP9,0,0,0,0
ENSG00000103647,CORO2B,0.22694463441506027,0,6.58139439803675,1
ENSG00000103710,RASL12,0.10499522291909184,0,2.6010133548030314,2
ENSG00000103742,IGDCC4,0.09058805060819561,0,2.0618993981610214,2
ENSG00000104055,TGM5,0.013798479335825103,0,0.40015590073892787,1
ENSG00000104059,ENTREP2,0.006899239667912551,0,0.20007795036946394,1
ENSG00000104112,SCG3,0,0,0,0
ENSG00000104213,PDGFRL,0.052289961063457,0,1.5164088708402534,1
ENSG00000104313,EYA1,0.006877110133789707,0,0.19943619387990152,1
ENSG00000104321,TRPA1,0.046201560012931006,0,0.896541367539375,2
ENSG00000104369,JPH1,0.20095386567106496,0,5.483013141492379,2
ENSG00000104371,DKK4,0.015305107236228677,0,0.4438481098506318,1
ENSG00000104415,CCN4,0.045915321708686035,0,1.3315443295518954,1
ENSG00000104435,STMN2,0.027596958671650205,0,0.8003118014778557,1
ENSG00000104537,ANXA13,0.02069771900373765,0,0.6002338511083918,1
ENSG00000104755,ADAM2,0,0,0,0
ENSG00000104760,FGL1,0,0,0,0
ENSG00000104818,CGB2,0,0,0,0
ENSG00000104827,CGB3,0.01112173051012653,0,0.32253018479366935,1
ENSG00000104879,CKM,0,0,0,0
ENSG00000104918,RETN,0,0,0,0
ENSG00000104921,FCER2,0,0,0,0
ENSG00000104938,CLEC4M,0.061659169798092654,0,1.3448120513090625,2
ENSG00000104941,RSPH6A,0.03717926532499068,0,0.7836416375445843,2
ENSG00000104972,LILRB1,0,0,0,0
ENSG00000104974,LILRA1,0,0,0,0
ENSG00000105141,CASP14,0,0,0,0
ENSG00000105198,LGALS13,0,0,0,0
ENSG00000105251,SHD,0,0,0,0
ENSG00000105261,OVOL3,0.04087587857707311,0,0.6167471521700248,2
ENSG00000105352,CEACAM4,0,0,0,0
ENSG00000105370,LIM2,0,0,0,0
ENSG00000105371,ICAM4,0,0,0,0
ENSG00000105374,NKG7,0.028640623139585698,0,0.5360210141678394,2
ENSG00000105392,CRX,0.006877110133789707,0,0.19943619387990152,1
ENSG00000105398,SULT2A1,0.06617330111266084,0,1.3299116185068727,2
ENSG00000105428,ZNRF4,0,0,0,0
ENSG00000105507,CABP5,0.10666209624663395,0,3.0932007911523853,1
ENSG00000105509,HAS1,0.03366032468749195,0,0.9761494159372661,1
ENSG00000105549,SPMAP2,0,0,0,0
ENSG00000105550,FGF21,0,0,0,0
ENSG00000105610,KLF1,0.06788154895318582,0,1.0819571739711398,2
ENSG00000105641,SLC5A5,0.051156281070040305,0,1.0819571739711398,2
ENSG00000105647,PIK3R2,0.013754220267579415,0,0.39887238775980305,1
ENSG00000105675,ATP4A,0,0,0,0
ENSG00000105679,GAPDHS,0.030471419677256462,0,0.8836711706404378,1
ENSG00000105707,HPN,0,0,0,0
ENSG00000105737,GRIK5,0.014823362734386267,0,0.42987751929720186,1
ENSG00000105880,DLX5,0.0378978262434896,0,0.6507662772915107,2
ENSG00000105889,STEAP1B,0.02244021645832796,0,0.6507662772915107,2
ENSG00000105954,NPVF,0,0,0,0
ENSG00000105967,TFEC,0.013798479335825103,0,0.40015590073892787,1
ENSG00000105989,WNT2,0,0,0,0
ENSG00000106018,VIPR2,0,0,0,0
ENSG00000106031,HOXA13,0,0,0,0
ENSG00000106034,CPED1,0.019053904821024963,0,0.35312704592982236,2
ENSG00000106038,EVX1,0.14735380341796073,0,2.9284482478117986,2
ENSG00000106123,EPHB6,0,0,0,0
ENSG00000106128,GHRHR,0,0,0,0
ENSG00000106178,CCL24,0,0,0,0
ENSG00000106236,NPTX2,0,0,0,0
ENSG00000106304,SPAM1,0,0,0,0
ENSG00000106328,FSCN3,0.007568134343103082,0,0.21947589594998934,1
ENSG00000106331,PAX4,0,0,0,0
ENSG00000106341,PPP1R17,0,0,0,0
ENSG00000106384,MOGAT3,0.012925972348837507,0,0.3748531981162877,1
ENSG00000106410,NOBOX,0,0,0,0
ENSG00000106436,MYL10,0,0,0,0
ENSG00000106511,MEOX2,0,0,0,0
ENSG00000106536,POU6F2,0,0,0,0
ENSG00000106538,RARRES2,0.015237442320947715,0,0.4418858273074836,1
ENSG00000106565,TMEM176B,0.015457609785161636,0,0.4482706837696875,1
ENSG00000106624,AEBP1,0,0,0,0
ENSG00000106631,MYL7,0.015305107236228677,0,0.4438481098506318,1
ENSG00000106648,GALNTL5,0.02063133040136913,0,0.5983085816397046,1
ENSG00000106689,LHX2,0.04130955448283665,0,0.7497063962325754,2
ENSG00000106714,CNTNAP3,0.047537787995655584,0,1.3785958518740116,1
ENSG00000106952,TNFSF8,0.022185580110520277,0,0.4433038728356243,2
ENSG00000107147,KCNT1,0.021890164320123747,0,0.6348147652835887,1
ENSG00000107159,CA9,0,0,0,0
ENSG00000107186,MPDZ,0.018654434033985173,0,0.5409785869855699,1
ENSG00000107187,LHX3,0,0,0,0
ENSG00000107242,PIP5K1B,0.011884446998913896,0,0.3446489629685029,1
ENSG00000107282,APBA1,0,0,0,0
ENSG00000107317,PTGDS,0.021523649253777328,0,0.4015749770600294,2
ENSG00000107338,SHB,0.015136268686206164,0,0.4389517918999787,1
ENSG00000107447,DNTT,0,0,0,0
ENSG00000107719,PALD1,0,0,0,0
ENSG00000107807,TLX1,0.00851141374199241,0,0.24683099851777984,1
ENSG00000107831,FGF8,0.010157139892418825,0,0.2945570568801459,1
ENSG00000107859,PITX3,0.03404565496796964,0,0.9873239940711194,1
ENSG00000108018,SORCS1,0,0,0,0
ENSG00000108231,LGI1,0,0,0,0
ENSG00000108242,CYP2C18,0,0,0,0
ENSG00000108255,CRYBA1,0.013696129373857202,0,0.3971877518418589,1
ENSG00000108342,CSF3,0,0,0,0
ENSG00000108381,ASPA,0.0361083724136426,0,0.8003118014778557,2
ENSG00000108417,KRT37,0,0,0,0
ENSG00000108551,RASD1,0.013847413002069977,0,0.4015749770600294,1
ENSG00000108688,CCL7,0.0484836874218782,0,0.9761494159372661,2
ENSG00000108700,CCL8,0,0,0,0
ENSG00000108759,KRT32,0,0,0,0
ENSG00000108797,CNTNAP1,0.01848348324716688,0,0.5360210141678394,1
ENSG00000108798,ABI3,0.011884446998913896,0,0.3446489629685029,1
ENSG00000108813,DLX4,0,0,0,0
ENSG00000108823,SGCA,0,0,0,0
ENSG00000108825,PTGES3L-AARSD1,0,0,0,0
ENSG00000108846,ABCC3,0.006899239667912551,0,0.20007795036946394,1
ENSG00000108878,CACNG1,0,0,0,0
ENSG00000108947,EFNB3,0.021377248121582794,0,0.32538313864575535,2
ENSG00000109047,RCVRN,0,0,0,0
ENSG00000109061,MYH1,0.10630126474709586,0,2.0007795036946394,2
ENSG00000109101,FOXN1,0,0,0,0
ENSG00000109132,PHOX2B,0,0,0,0
ENSG00000109158,GABRA4,0.028166382846189268,0,0.6167471521700248,2
ENSG00000109163,GNRHR,0.02224346102025306,0,0.6450603695873387,1
ENSG00000109181,UGT2B10,0,0,0,0
ENSG00000109182,CWH43,0.013847413002069977,0,0.4015749770600294,1
ENSG00000109193,SULT1E1,0.02712188931986161,0,0.4418858273074836,2
ENSG00000109205,ODAM,0,0,0,0
ENSG00000109208,SMR3A,0,0,0,0
ENSG00000109255,NMU,0.015286340442607732,0,0.4433038728356243,1
ENSG00000109272,PF4V1,0,0,0,0
ENSG00000109424,UCP1,0.011884446998913896,0,0.3446489629685029,1
ENSG00000109436,TBC1D9,0.006899239667912551,0,0.20007795036946394,1
ENSG00000109471,IL2,0.03047488464189543,0,0.8837716546149672,1
ENSG00000109610,SOD3,0,0,0,0
ENSG00000109625,CPZ,0,0,0,0
ENSG00000109667,SLC2A9,0,0,0,0
ENSG00000109684,CLNK,0,0,0,0
ENSG00000109738,GLRB,0,0,0,0
ENSG00000109943,CRTAM,0.027694826004139955,0,0.8031499541200589,1
ENSG00000109944,JHY,0.18272553415713344,0,2.948115577923117,2
ENSG00000109956,B3GAT1,0,0,0,0
ENSG00000109991,P2RX3,0.006899239667912551,0,0.20007795036946394,1
